fullStreetName,CoordList
AARON CT,"[(-89.2902063370892, 43.069904425448954), (-89.28952427562535, 43.06990573565479)]"
ABERG AVE,"[(-89.35108493947916, 43.11139363852837), (-89.35080521611567, 43.11122910586315), (-89.35076844025086, 43.11120838699819), (-89.35073123024591, 43.11118808729538), (-89.35069359592161, 43.11116821306117), (-89.35065554587206, 43.111148768800916), (-89.35061708869254, 43.11112975811999), (-89.35057823420576, 43.111111185524685), (-89.35053899223225, 43.111093057321355), (-89.35049937136816, 43.11107537621534), (-89.35045938143601, 43.11105814671281), (-89.35041903102879, 43.111041374219404), (-89.3503783324292, 43.11102506054267), (-89.35033729300152, 43.11100921108741), (-89.35029592256932, 43.11099382945978), (-89.35025423341195, 43.11097892016771), (-89.35021223289789, 43.110964485015614), (-89.35016993207898, 43.110950527610555), (-89.35012734200508, 43.11093705335968), (-89.35008447127406, 43.11092406316822), (-89.35004133216519, 43.11091156154405), (-89.34999793204575, 43.11089955119191), (-89.34995428442555, 43.110888034820235), (-89.3499103991289, 43.110877015135216), (-89.34986628475143, 43.110866494842384), (-89.34982195480292, 43.11085647665022), (-89.3497774166505, 43.11084696326351), (-89.34973268380605, 43.11083795559063), (-89.34968776486296, 43.11082945813725), (-89.34964267210665, 43.11082147001092), (-89.34959741658773, 43.11081399571887), (-89.34955200813224, 43.110807036167294), (-89.34950645779487, 43.11080059226307), (-89.34946077662936, 43.11079466581326), (-89.34941497445966, 43.11078925952428), (-89.3493690647985, 43.110784373404556), (-89.34932305747208, 43.110780008360315), (-89.34927696353282, 43.11077616709881), (-89.34923079280897, 43.11077284872603), (-89.34918455758256, 43.11077005504994), (-89.3491382701379, 43.1107677860783), (-89.3490919390714, 43.110766043616835), (-89.34904557666823, 43.11076482677312), (-89.34899919521169, 43.11076413645505), (-89.34895280330025, 43.110763972668245), (-89.34692610819664, 43.11075442125703)]"
ABERG AVE,"[(-89.35441819350038, 43.1132161751301), (-89.35428013275173, 43.11313445096389)]"
ABERG AVE,"[(-89.35120582309719, 43.111287085396064), (-89.35091570590643, 43.11111767522768), (-89.35087795017567, 43.11109653904248), (-89.35083976645332, 43.11107581932274), (-89.35080116333367, 43.11105552057397), (-89.35076214940987, 43.111035648201614), (-89.35072273327609, 43.111016206711064), (-89.35068292475597, 43.11099719970858), (-89.35064273121411, 43.1109786325988), (-89.35060216247507, 43.110960508087814), (-89.35056122836043, 43.11094283158195), (-89.35051993623762, 43.110925605785745), (-89.35047829715782, 43.11090883520619), (-89.35043632094435, 43.1108925234495), (-89.35039401373402, 43.11087667501957), (-89.35035138780844, 43.11086129262408), (-89.3503084529909, 43.110846379869244), (-89.35026521787739, 43.11083193946039), (-89.35022169106148, 43.110817975903124), (-89.35017788482465, 43.11080449190506), (-89.35013380776267, 43.11079149017161), (-89.35008946847134, 43.1107789734082), (-89.35004487923078, 43.11076694522259), (-89.35000004863785, 43.11075540742017), (-89.34995498774421, 43.110744363607985), (-89.34990970514652, 43.11073381559146), (-89.34986421312593, 43.11072376607825), (-89.34981851905172, 43.11071421597301), (-89.34977263643144, 43.1107051697844), (-89.34972657263525, 43.11069662751699), (-89.34968033994316, 43.110688592778665), (-89.3496339481825, 43.1106810655754), (-89.34958740840575, 43.11067404861443), (-89.34954072920942, 43.110667543701105), (-89.34949392287672, 43.11066155174321), (-89.34944699800418, 43.11065607454629), (-89.34939996810446, 43.110651112118695), (-89.34935284054338, 43.110646668065485), (-89.34930562883582, 43.11064274059488), (-89.34904876463618, 43.110623510002654)]"
ABERG AVE,"[(-89.34904876463618, 43.110623510002654), (-89.34896967423546, 43.11062426322555), (-89.34889059672396, 43.11062553845822), (-89.34881153824227, 43.110627335704706), (-89.34873250370255, 43.11062965496815), (-89.34865350293212, 43.11063249535482), (-89.34857453838615, 43.11063585686642), (-89.34849561988972, 43.110639740409376), (-89.34841675112975, 43.11064414328594), (-89.34833794070188, 43.110649067301885), (-89.34828804726865, 43.11065322145152), (-89.34823808314877, 43.110656897582324), (-89.34818805817287, 43.110660094800465), (-89.3481379797132, 43.11066281311061), (-89.34808785759927, 43.11066505251906), (-89.34803770043423, 43.11066681123111), (-89.34798751558932, 43.110668090151634), (-89.34715051747544, 43.110666403197925), (-89.34713654389309, 43.110666564155096), (-89.34712260036316, 43.110667266088434), (-89.34710872865784, 43.11066850722529), (-89.34709496440968, 43.11067028308847), (-89.34708134816564, 43.110672589204164), (-89.3470679167881, 43.11067542019605), (-89.34705470960198, 43.110678766189), (-89.34704176101589, 43.110682619104665), (-89.34702910789896, 43.11068696816626), (-89.34701678712237, 43.1106918007967), (-89.3470048318731, 43.11069710351656), (-89.34699327656743, 43.110702861946855), (-89.34698215071121, 43.11070905900533), (-89.34697148872313, 43.11071567851294), (-89.3469613188827, 43.11072270158645), (-89.3469516694693, 43.11073010934241), (-89.34694256876699, 43.11073787929727), (-89.34693404014327, 43.11074599076417), (-89.34692610819664, 43.11075442125703)]"
ABERG AVE,"[(-89.34904876463618, 43.110623510002654), (-89.34895816653987, 43.110617041587496), (-89.34886749901372, 43.11061111851489), (-89.34877676819802, 43.1106057407886), (-89.348685980232, 43.11060090931249), (-89.34859514248448, 43.11059662409117), (-89.34850425863863, 43.110592885126955), (-89.3484133348336, 43.110589693323774), (-89.34832237966776, 43.11058704778694), (-89.34823139805084, 43.11058495031977), (-89.34814039612505, 43.110583399126), (-89.34804937880004, 43.11058239600891), (-89.34675738339848, 43.110586028981864)]"
ABERG AVE,"[(-89.34420386839268, 43.11057973180742), (-89.34417798227692, 43.11071395102251)]"
ABERG AVE,"[(-89.34675738339848, 43.110586028981864), (-89.34486140744502, 43.11061124653088), (-89.3448064412014, 43.11061148031527), (-89.34475147561302, 43.11061119381772), (-89.34469652051182, 43.11061038524466), (-89.34464158326698, 43.11060905730143), (-89.34458667493911, 43.1106072081953), (-89.34453180289839, 43.11060483973156), (-89.34447697697568, 43.11060195101678), (-89.344422208228, 43.11059854295867), (-89.3443675027984, 43.11059461646161), (-89.34431287174495, 43.110590171533175), (-89.34425832366648, 43.110585209979455), (-89.34420386839268, 43.11057973180742)]"
ABERG AVE,"[(-89.34692610819664, 43.11075442125703), (-89.34480728248778, 43.11074338378465), (-89.34475468859613, 43.110743489534045), (-89.34470209652076, 43.11074312901025), (-89.34464951486156, 43.110742303119316), (-89.34459694976353, 43.11074101096531), (-89.34454440982536, 43.11073925435422), (-89.34449190365035, 43.110737031491695), (-89.34443943737999, 43.11073434418225), (-89.34438701961525, 43.1107311924317), (-89.34433465772864, 43.11072757624517), (-89.34428235909013, 43.11072349742795), (-89.34423013107333, 43.110718955085), (-89.34417798227692, 43.11071395102251)]"
ABERG AVE,"[(-89.35642228729648, 43.114181834205546), (-89.35613074249201, 43.11417830446861), (-89.35610168063188, 43.11417751181055), (-89.35607265620322, 43.11417618720992), (-89.35604368517859, 43.11417433067594), (-89.35601478721358, 43.114171944920265), (-89.35598597950936, 43.11416902995295), (-89.35595727926433, 43.11416558848424), (-89.35592870736451, 43.11416162142647), (-89.35590027854904, 43.11415713328872), (-89.3558720124753, 43.11415212498256), (-89.35584392511106, 43.1141466010179), (-89.35581603611169, 43.11414056410646), (-89.35578836144589, 43.11413401785814), (-89.3557609183088, 43.114126967683596), (-89.35573372512734, 43.114119416293974), (-89.35570679786797, 43.11411136909933), (-89.35568015372591, 43.1141028315104), (-89.35565380989728, 43.11409380803781), (-89.3556277811191, 43.11408430499106), (-89.35560208581393, 43.11407432868176), (-89.35557673872061, 43.11406388361918), (-89.35555175580171, 43.11405297881379), (-89.35552715302452, 43.114041618775595), (-89.35550294635242, 43.114029811615026), (-89.35547914929155, 43.114017565441046), (-89.35545577780717, 43.114004886563926), (-89.35543284663302, 43.11399178399345), (-89.35541036927609, 43.11397826493851), (-89.35501001989324, 43.11374931891883)]"
