fullStreetName,CoordList
BELTLINE FRONTAGE ROAD,"[(-89.45421961117941, 43.03679591207779), (-89.45422754151154, 43.03681681577524), (-89.45423616383641, 43.036837572560664), (-89.45424547201186, 43.03685816803402), (-89.45425545989794, 43.03687859229558), (-89.45426612258008, 43.036898831844965), (-89.45427745269025, 43.03691887498264), (-89.45428944408819, 43.03693871090876), (-89.4543020906319, 43.03695832612333), (-89.45431538372682, 43.03697770982717), (-89.4543293147784, 43.03699685122121), (-89.45434387764502, 43.03701573770541), (-89.45435906127838, 43.037034359381416), (-89.45437485953697, 43.03705270364927), (-89.45439126014568, 43.037070761511025), (-89.45440825573628, 43.037088521267066), (-89.45442583525976, 43.03710597211903), (-89.4544439876676, 43.037123104168494), (-89.45446270313779, 43.037139906616716), (-89.4544819693955, 43.0371563713659), (-89.45451792115234, 43.03718412776066), (-89.45455438689369, 43.03721152125514), (-89.45459135925378, 43.03723854555006), (-89.4546288320959, 43.03726519794645), (-89.45466679805381, 43.03729147124495), (-89.45470525099006, 43.03731736184645), (-89.45474418231179, 43.03734286345214), (-89.454783584655, 43.03736797336329), (-89.45482345188076, 43.037392685280466), (-89.45486377662404, 43.037416994704685), (-89.45490455029316, 43.0374408980375), (-89.4549457642954, 43.037464389880256), (-89.45498741372026, 43.037487466633436), (-89.45502948874781, 43.037510122898745), (-89.455071983241, 43.037532355977206), (-89.45511488737974, 43.03755416047048), (-89.45515819379877, 43.037575531879675), (-89.45520189390656, 43.037596467506496), (-89.4564811122439, 43.03818946712979), (-89.45749945797701, 43.03866151542089), (-89.45813053955305, 43.03895404228538), (-89.45815861108059, 43.03896499408496), (-89.45818677702795, 43.03897581353203)]"
BLACKHAWK RD,"[(-89.53403796446582, 43.08203669338146), (-89.53492140577504, 43.08205648701385), (-89.53669609590325, 43.082096506869156)]"
BRIDGE RD,"[(-89.33795269140514, 43.049370169521744), (-89.33878153167117, 43.04863928450556)]"
BROOM ST,"[(-89.38889073324493, 43.07135769938318), (-89.3900176613037, 43.07220142302292)]"
BROOM ST,"[(-89.3900176613037, 43.07220142302292), (-89.39087238373047, 43.072854089987494)]"
BROOM ST,"[(-89.39087238373047, 43.072854089987494), (-89.39087261578119, 43.07285409005104), (-89.39172506581443, 43.07351310917038)]"
BROOM ST,"[(-89.39216632342414, 43.07385411367762), (-89.39258266209751, 43.074175855917005)]"
BROOM ST,"[(-89.39172506581443, 43.07351310917038), (-89.39216632342414, 43.07385411367762)]"
BROOM ST,"[(-89.3877773196863, 43.07050412775271), (-89.38692583932652, 43.06984850044662)]"
BROOM ST,"[(-89.38889073324493, 43.07135769938318), (-89.3877773196863, 43.07050412775271)]"
BUCKEYE RD,"[(-89.32161577471031, 43.07820698752026), (-89.32003993554642, 43.07697425742133)]"
BUCKEYE RD,"[(-89.31775560095751, 43.07517193180378), (-89.31700835241054, 43.07458645121531)]"
BUCKEYE RD,"[(-89.31413136271418, 43.07380040857616), (-89.31296654227464, 43.07367738983787)]"
BUCKEYE RD,"[(-89.31521131858213, 43.07390490831976), (-89.31413136271418, 43.07380040857616)]"
BUCKEYE RD,"[(-89.31870352241293, 43.07591569039841), (-89.31775560095751, 43.07517193180378)]"
BUCKEYE RD,"[(-89.32003993554642, 43.07697425742133), (-89.31870352241293, 43.07591569039841)]"
BUCKEYE RD,"[(-89.31614234668787, 43.074012847738594), (-89.31610785836577, 43.07400601008629), (-89.31607321705958, 43.07399960343118), (-89.31603843136025, 43.073993629581274), (-89.31600351354506, 43.07398808854781), (-89.31596847220325, 43.073982983039016), (-89.31593331715342, 43.07397831486407), (-89.3158980582173, 43.07397408403193), (-89.31586270766745, 43.07397029325436), (-89.3158272740963, 43.073966943439245), (-89.31579176855328, 43.07396403459685), (-89.31521131858213, 43.07390490831976)]"
