Ticket #,Date Issue,Location,Type,Hour,Day
24P1300001,2024-01-02 08:12:00,WISCONSIN AVE,083,8,Tuesday
24P1300002,2024-01-02 08:14:00,WISCONSIN AVE,083,8,Tuesday
24P1300003,2024-01-02 08:15:00,WISCONSIN AVE,083,8,Tuesday
24P1300004,2024-01-02 08:58:00,BALDWIN ST,TOW,8,Tuesday
24P1300005,2024-01-02 08:58:00,BALDWIN ST,151,8,Tuesday
24P1300006,2024-01-03 08:49:00,JENIFER ST,002,8,Wednesday
24P1300007,2024-01-03 08:54:00,JENIFER ST,002,8,Wednesday
24P1300008,2024-01-03 09:00:00,JENIFER ST,002,9,Wednesday
24P1300009,2024-01-03 11:28:00,JENIFER ST,002,11,Wednesday
24P1300010,2024-01-03 11:29:00,JENIFER ST,002,11,Wednesday
24P1300011,2024-01-03 12:07:00,WASHINGTON AVE,083,12,Wednesday
24P1300012,2024-01-03 13:07:00,JENIFER ST,002,13,Wednesday
24P1300013,2024-01-03 13:08:00,JENIFER ST,002,13,Wednesday
24P1300014,2024-01-04 08:29:00,MIFFLIN ST,048,8,Thursday
24P1300015,2024-01-04 08:34:00,JOHNSON ST,048,8,Thursday
24P1300016,2024-01-04 08:35:00,JOHNSON ST,048,8,Thursday
24P1300017,2024-01-04 08:36:00,JOHNSON ST,048,8,Thursday
24P1300018,2024-01-04 08:40:00,HAMILTON ST,W048,8,Thursday
24P1300019,2024-01-04 08:43:00,HANCOCK ST,048,8,Thursday
24P1300020,2024-01-04 08:45:00,HANCOCK ST,048,8,Thursday
24P1300021,2024-01-04 08:46:00,HANCOCK ST,048,8,Thursday
24P1300022,2024-01-04 08:49:00,HANCOCK ST,048,8,Thursday
24P1300023,2024-01-04 08:50:00,HANCOCK ST,048,8,Thursday
24P1300024,2024-01-04 08:53:00,FRANKLIN ST,048,8,Thursday
24P1300025,2024-01-04 08:56:00,FRANKLIN ST,033,8,Thursday
24P1300026,2024-01-04 09:00:00,BUTLER ST,048,9,Thursday
24P1300027,2024-01-04 09:01:00,BUTLER ST,048,9,Thursday
24P1300028,2024-01-04 09:13:00,FRANCES ST,048,9,Thursday
24P1300029,2024-01-04 09:15:00,FRANCES ST,048,9,Thursday
24P1300030,2024-01-04 09:16:00,FRANCES ST,048,9,Thursday
24P1300031,2024-01-04 09:18:00,FRANCES ST,048,9,Thursday
24P1300032,2024-01-04 09:21:00,HENRY ST,048,9,Thursday
24P1300033,2024-01-04 09:25:00,GILMAN ST,048,9,Thursday
24P1300034,2024-01-04 09:26:00,GILMAN ST,048,9,Thursday
24P1300035,2024-01-04 09:28:00,GILMAN ST,048,9,Thursday
24P1300036,2024-01-04 09:29:00,GILMAN ST,048,9,Thursday
24P1300037,2024-01-04 09:31:00,GILMAN ST,048,9,Thursday
24P1300038,2024-01-04 09:32:00,GILMAN ST,048,9,Thursday
24P1300039,2024-01-04 09:33:00,GILMAN ST,048,9,Thursday
24P1300040,2024-01-04 09:35:00,GILMAN ST,W048,9,Thursday
24P1300041,2024-01-04 09:39:00,CARROLL ST,048,9,Thursday
24P1300042,2024-01-04 09:41:00,CARROLL ST,048,9,Thursday
24P1300043,2024-01-04 09:56:00,JENIFER ST,002,9,Thursday
24P1300044,2024-01-04 10:16:00,WASHINGTON AVE,050,10,Thursday
24P1300045,2024-01-04 10:52:00,JENIFER ST,002,10,Thursday
24P1300046,2024-01-04 11:32:00,WILLIAMSON ST,083,11,Thursday
24P1300047,2024-01-04 12:14:00,BASSETT ST,083,12,Thursday
24P1300048,2024-01-04 13:11:00,MIFFLIN ST,071,13,Thursday
24P1300049,2024-01-04 14:42:00,HANCOCK ST,083,14,Thursday
24P1300050,2024-01-05 08:27:00,BALDWIN ST,048,8,Friday
24P1300051,2024-01-05 08:29:00,BALDWIN ST,048,8,Friday
24P1300052,2024-01-05 08:30:00,BALDWIN ST,048,8,Friday
24P1300053,2024-01-05 08:33:00,SIDNEY ST,048,8,Friday
24P1300054,2024-01-05 08:36:00,SHERMAN AV,048,8,Friday
24P1300055,2024-01-05 08:37:00,SHERMAN AV,048,8,Friday
