Ticket #,Date Issue,Location,Type,Hour,Day
24P2400001,2024-01-02 08:26:00,THORNTON AV,048,8,Tuesday
24P2400002,2024-01-02 08:29:00,ROGERS ST,048,8,Tuesday
24P2400003,2024-01-02 08:30:00,ROGERS ST,048,8,Tuesday
24P2400004,2024-01-02 08:34:00,DICKINSON ST,048,8,Tuesday
24P2400005,2024-01-02 08:39:00,BALDWIN ST,048,8,Tuesday
24P2400006,2024-01-02 08:46:00,FEW ST,048,8,Tuesday
24P2400007,2024-01-02 08:47:00,FEW ST,048,8,Tuesday
24P2400008,2024-01-02 08:49:00,FEW ST,W048,8,Tuesday
24P2400009,2024-01-02 08:53:00,LIVINGSTON ST,048,8,Tuesday
24P2400010,2024-01-02 08:54:00,LIVINGSTON ST,048,8,Tuesday
24P2400011,2024-01-02 08:56:00,LIVINGSTON ST,048,8,Tuesday
24P2400012,2024-01-02 08:57:00,LIVINGSTON ST,048,8,Tuesday
24P2400013,2024-01-02 08:58:00,LIVINGSTON ST,048,8,Tuesday
24P2400014,2024-01-02 09:45:00,JENIFER ST,002,9,Tuesday
24P2400015,2024-01-02 09:46:00,JENIFER ST,002,9,Tuesday
24P2400016,2024-01-02 09:48:00,JENIFER ST,002,9,Tuesday
24P2400017,2024-01-02 10:58:00,FEW ST,080,10,Tuesday
24P2400018,2024-01-02 13:34:00,LIVINGSTON ST,Parking,13,Tuesday
24P2400019,2024-01-02 13:36:00,LIVINGSTON ST,048,13,Tuesday
24P2400020,2024-01-02 13:36:00,LIVINGSTON ST,Parking,13,Tuesday
24P2400021,2024-01-02 13:39:00,LIVINGSTON ST,Parking,13,Tuesday
24P2400022,2024-01-02 13:40:00,LIVINGSTON ST,Parking,13,Tuesday
24P2400023,2024-01-02 13:41:00,LIVINGSTON ST,Parking,13,Tuesday
24P2400024,2024-01-02 13:42:00,LIVINGSTON ST,Parking,13,Tuesday
24P2400025,2024-01-02 13:45:00,LIVINGSTON ST,050,13,Tuesday
24P2400026,2024-01-02 13:56:00,WASHINGTON AVE,Parking,13,Tuesday
24P2400027,2024-01-02 14:01:00,LIVINGSTON ST,Parking,14,Tuesday
24P2400028,2024-01-02 14:07:00,WASHINGTON AVE,050,14,Tuesday
24P2400029,2024-01-03 08:07:00,BALDWIN ST,TOW,8,Wednesday
24P2400030,2024-01-03 08:07:00,BALDWIN ST,072,8,Wednesday
24P2400031,2024-01-03 08:08:00,BALDWIN ST,072,8,Wednesday
24P2400032,2024-01-03 08:09:00,BALDWIN ST,TOW,8,Wednesday
24P2400033,2024-01-03 12:42:00,WASHINGTON AVE,Parking,12,Wednesday
24P2400034,2024-01-03 13:01:00,LIVINGSTON ST,Parking,13,Wednesday
24P2400035,2024-01-03 13:07:00,BLOUNT ST,Parking,13,Wednesday
24P2400036,2024-01-03 13:10:00,BLOUNT ST,Parking,13,Wednesday
24P2400037,2024-01-03 13:13:00,BLOUNT ST,050,13,Wednesday
24P2400038,2024-01-03 13:18:00,BLOUNT ST,Parking,13,Wednesday
24P2400039,2024-01-03 13:19:00,BLOUNT ST,Parking,13,Wednesday
24P2400040,2024-01-03 13:32:00,WINNEBAGO ST,Parking,13,Wednesday
24P2400041,2024-01-03 13:33:00,WINNEBAGO ST,Parking,13,Wednesday
24P2400042,2024-01-03 13:37:00,SECOND ST,Parking,13,Wednesday
24P2400043,2024-01-03 13:43:00,SECOND ST,050,13,Wednesday
24P2400044,2024-01-03 13:44:00,SECOND ST,Parking,13,Wednesday
24P2400045,2024-01-03 13:45:00,SECOND ST,Parking,13,Wednesday
24P2400046,2024-01-03 13:48:00,SECOND ST,Parking,13,Wednesday
24P2400047,2024-01-03 13:50:00,SECOND ST,050,13,Wednesday
24P2400048,2024-01-03 13:55:00,ATWOOD AVE,Parking,13,Wednesday
24P2400049,2024-01-03 14:02:00,WILSON ST,050,14,Wednesday
24P2400050,2024-01-04 07:24:00,MARION ST,072,7,Thursday
24P2400051,2024-01-04 08:18:00,JOHNSON ST,048,8,Thursday
24P2400052,2024-01-04 08:21:00,JOHNSON ST,048,8,Thursday
24P2400053,2024-01-04 08:29:00,MIFFLIN ST,048,8,Thursday
24P2400054,2024-01-04 08:31:00,MIFFLIN ST,048,8,Thursday
24P2400055,2024-01-04 08:33:00,MIFFLIN ST,048,8,Thursday
24P2400056,2024-01-04 08:34:00,MIFFLIN ST,048,8,Thursday
24P2400057,2024-01-04 08:36:00,MIFFLIN ST,048,8,Thursday
24P2400058,2024-01-04 08:38:00,MIFFLIN ST,048,8,Thursday
24P2400059,2024-01-04 08:40:00,MIFFLIN ST,048,8,Thursday
24P2400060,2024-01-04 08:42:00,MIFFLIN ST,048,8,Thursday
24P2400061,2024-01-04 08:43:00,MIFFLIN ST,048,8,Thursday
24P2400062,2024-01-04 08:44:00,MIFFLIN ST,048,8,Thursday
24P2400063,2024-01-04 08:46:00,MIFFLIN ST,048,8,Thursday
24P2400064,2024-01-04 08:48:00,MIFFLIN ST,048,8,Thursday
24P2400065,2024-01-04 08:56:00,DAYTON ST,048,8,Thursday
24P2400066,2024-01-04 08:57:00,DAYTON ST,050,8,Thursday
24P2400067,2024-01-04 08:59:00,DAYTON ST,048,8,Thursday
24P2400068,2024-01-04 09:01:00,DAYTON ST,048,9,Thursday
24P2400069,2024-01-04 09:02:00,DAYTON ST,048,9,Thursday
24P2400070,2024-01-04 09:04:00,DAYTON ST,048,9,Thursday
24P2400071,2024-01-04 09:06:00,DAYTON ST,048,9,Thursday
24P2400072,2024-01-04 09:06:00,DAYTON ST,W048,9,Thursday
24P2400073,2024-01-04 09:08:00,DAYTON ST,W048,9,Thursday
24P2400074,2024-01-04 09:09:00,DAYTON ST,W048,9,Thursday
24P2400075,2024-01-04 09:13:00,BLAIR ST,048,9,Thursday
24P2400076,2024-01-04 09:15:00,BLAIR ST,048,9,Thursday
24P2400077,2024-01-04 09:17:00,BLOUNT ST,048,9,Thursday
24P2400078,2024-01-04 09:20:00,BLOUNT ST,048,9,Thursday
24P2400079,2024-01-04 09:24:00,LIVINGSTON ST,048,9,Thursday
24P2400080,2024-01-04 09:25:00,LIVINGSTON ST,W050,9,Thursday
24P2400081,2024-01-04 09:28:00,LIVINGSTON ST,048,9,Thursday
24P2400082,2024-01-04 09:30:00,LIVINGSTON ST,048,9,Thursday
24P2400083,2024-01-04 09:36:00,BREARLY ST,048,9,Thursday
24P2400084,2024-01-04 09:39:00,MIFFLIN ST,048,9,Thursday
24P2400085,2024-01-05 08:21:00,JOHNSON ST,048,8,Friday
24P2400086,2024-01-05 08:23:00,JOHNSON ST,048,8,Friday
24P2400087,2024-01-05 08:26:00,JOHNSON ST,048,8,Friday
24P2400088,2024-01-05 08:27:00,JOHNSON ST,048,8,Friday
24P2400089,2024-01-05 08:29:00,JOHNSON ST,048,8,Friday
24P2400090,2024-01-05 08:43:00,DAYTON ST,048,8,Friday
24P2400091,2024-01-05 08:45:00,DAYTON ST,048,8,Friday
24P2400092,2024-01-05 08:46:00,DAYTON ST,048,8,Friday
24P2400093,2024-01-05 08:48:00,DAYTON ST,048,8,Friday
24P2400094,2024-01-05 08:49:00,DAYTON ST,048,8,Friday
24P2400095,2024-01-05 08:50:00,DAYTON ST,048,8,Friday
24P2400096,2024-01-05 08:52:00,DAYTON ST,048,8,Friday
24P2400097,2024-01-05 08:54:00,DAYTON ST,048,8,Friday
24P2400098,2024-01-05 08:55:00,DAYTON ST,048,8,Friday
24P2400099,2024-01-05 08:57:00,DAYTON ST,048,8,Friday
24P2400100,2024-01-05 08:58:00,DAYTON ST,048,8,Friday
24P2400101,2024-01-05 09:00:00,DAYTON ST,048,9,Friday
24P2400102,2024-01-05 09:01:00,DAYTON ST,048,9,Friday
24P2400103,2024-01-05 09:02:00,DAYTON ST,048,9,Friday
24P2400104,2024-01-05 09:12:00,BLAIR ST,048,9,Friday
24P2400105,2024-01-05 09:15:00,BLAIR ST,048,9,Friday
24P2400106,2024-01-05 09:20:00,BLOUNT ST,048,9,Friday
24P2400107,2024-01-05 09:22:00,BLOUNT ST,048,9,Friday
24P2400108,2024-01-05 09:24:00,BLOUNT ST,048,9,Friday
24P2400109,2024-01-05 09:28:00,GORHAM ST,048,9,Friday
24P2400110,2024-01-05 09:33:00,PATERSON ST,048,9,Friday
24P2400111,2024-01-05 09:36:00,PATERSON ST,048,9,Friday
24P2400112,2024-01-05 09:37:00,PATERSON ST,048,9,Friday
24P2400113,2024-01-05 09:38:00,PATERSON ST,048,9,Friday
24P2400114,2024-01-08 07:06:00,DAYTON ST,048,7,Monday
24P2400115,2024-01-08 07:09:00,DAYTON ST,083,7,Monday
24P2400116,2024-01-08 07:12:00,DAYTON ST,083,7,Monday
24P2400117,2024-01-08 09:44:00,CANTWELL CT,W048,9,Monday
24P2400118,2024-01-08 13:06:00,DOTY ST,050,13,Monday
24P2400119,2024-01-10 07:54:00,HANCOCK ST,023,7,Wednesday
24P2400120,2024-01-10 08:56:00,FEW ST,TOW,8,Wednesday
24P2400121,2024-01-10 08:56:00,FEW ST,072,8,Wednesday
24P2400122,2024-01-13 07:52:00,GOLDEN LEAF TRL,TOW,7,Saturday
24P2400123,2024-01-13 07:52:00,GOLDEN LEAF TRL,077,7,Saturday
24P2400124,2024-01-13 11:19:00,ATWOOD AVE,083,11,Saturday
24P2400125,2024-01-13 11:21:00,ATWOOD AVE,083,11,Saturday
24P2400126,2024-01-13 12:11:00,TEMPE DR,TOW,12,Saturday
24P2400127,2024-01-13 12:11:00,TEMPE DR,072,12,Saturday
24P2400128,2024-01-13 14:07:00,ARTESIAN LN,147,14,Saturday
24P2400129,2024-01-16 08:45:00,WINNEBAGO ST,TOW,8,Tuesday
24P2400130,2024-01-16 08:45:00,WINNEBAGO ST,083,8,Tuesday
24P2400131,2024-01-16 08:49:00,WINNEBAGO ST,083,8,Tuesday
24P2400132,2024-01-16 08:55:00,WINNEBAGO ST,083,8,Tuesday
24P2400133,2024-01-16 09:40:00,WINNEBAGO ST,050,9,Tuesday
24P2400134,2024-01-16 11:18:00,MIFFLIN ST,TOW,11,Tuesday
24P2400135,2024-01-16 11:18:00,MIFFLIN ST,072,11,Tuesday
24P2400136,2024-01-16 11:57:00,PINCKNEY ST,083,11,Tuesday
24P2400137,2024-01-16 12:32:00,SUTHERLAND CT,046,12,Tuesday
24P2400138,2024-01-16 12:35:00,WINNEBAGO ST,W075,12,Tuesday
24P2400139,2024-01-17 10:16:00,WINNEBAGO ST,075,10,Wednesday
24P2400140,2024-01-17 11:37:00,GORHAM ST,004,11,Wednesday
24P2400141,2024-01-17 11:54:00,PROSPECT PL,004,11,Wednesday
24P2400142,2024-01-17 12:22:00,MIFFLIN ST,072,12,Wednesday
24P2400143,2024-01-18 08:15:00,STANG ST,046,8,Thursday
24P2400144,2024-01-18 08:37:00,THIRD ST,072,8,Thursday
24P2400145,2024-01-18 08:52:00,RUSSELL ST,048,8,Thursday
24P2400146,2024-01-18 08:55:00,RUSSELL ST,048,8,Thursday
24P2400147,2024-01-18 08:56:00,RUSSELL ST,048,8,Thursday
24P2400148,2024-01-18 08:58:00,SPAIGHT ST,048,8,Thursday
24P2400149,2024-01-18 09:40:00,DAYTON ST,048,9,Thursday
24P2400150,2024-01-18 09:43:00,DAYTON ST,048,9,Thursday
24P2400151,2024-01-18 09:45:00,DAYTON ST,048,9,Thursday
24P2400152,2024-01-18 09:46:00,DAYTON ST,048,9,Thursday
24P2400153,2024-01-18 09:49:00,MIFFLIN ST,048,9,Thursday
24P2400154,2024-01-18 09:51:00,MIFFLIN ST,048,9,Thursday
24P2400155,2024-01-18 09:52:00,MIFFLIN ST,048,9,Thursday
24P2400156,2024-01-18 09:53:00,MIFFLIN ST,W048,9,Thursday
24P2400157,2024-01-18 09:55:00,MIFFLIN ST,048,9,Thursday
24P2400158,2024-01-18 09:56:00,MIFFLIN ST,048,9,Thursday
24P2400159,2024-01-18 10:29:00,HENRY ST,W048,10,Thursday
24P2400160,2024-01-18 10:31:00,HENRY ST,048,10,Thursday
24P2400161,2024-01-18 10:32:00,HENRY ST,048,10,Thursday
24P2400162,2024-01-18 10:33:00,HENRY ST,048,10,Thursday
24P2400163,2024-01-18 12:16:00,WINNEBAGO ST,TOW,12,Thursday
24P2400164,2024-01-18 12:16:00,WINNEBAGO ST,036,12,Thursday
24P2400165,2024-01-19 07:55:00,DAYTON ST,TOW,7,Friday
24P2400166,2024-01-19 07:55:00,DAYTON ST,072,7,Friday
24P2400167,2024-01-19 08:49:00,BLOUNT ST,058,8,Friday
24P2400168,2024-01-19 10:29:00,GILMAN ST,048,10,Friday
24P2400169,2024-01-19 10:31:00,GILMAN ST,048,10,Friday
24P2400170,2024-01-19 10:34:00,GILMAN ST,048,10,Friday
24P2400171,2024-01-19 10:36:00,GILMAN ST,048,10,Friday
24P2400172,2024-01-19 10:39:00,HENRY ST,048,10,Friday
24P2400173,2024-01-19 10:41:00,HENRY ST,W048,10,Friday
24P2400174,2024-01-19 10:42:00,HENRY ST,048,10,Friday
24P2400175,2024-01-19 13:42:00,LANGDON ST,072,13,Friday
24P2400176,2024-01-22 11:38:00,WISCONSIN AVE,Parking,11,Monday
24P2400177,2024-01-22 11:42:00,WISCONSIN AVE,Parking,11,Monday
24P2400178,2024-01-22 11:45:00,GILMAN ST,Parking,11,Monday
24P2400179,2024-01-22 11:46:00,GILMAN ST,074,11,Monday
24P2400180,2024-01-22 11:49:00,GILMAN ST,Parking,11,Monday
24P2400181,2024-01-22 11:54:00,BUTLER ST,Parking,11,Monday
24P2400182,2024-01-23 07:27:00,DAYTON ST,075,7,Tuesday
24P2400183,2024-01-23 08:35:00,FRANCES ST,077,8,Tuesday
