Ticket #,Date Issue,Location,Type,Hour,Day
24P3200001,2024-01-02 09:51:00,ANDREW WAY,TOW,9,Tuesday
24P3200002,2024-01-02 09:51:00,ANDREW WAY,004,9,Tuesday
24P3200003,2024-01-02 10:26:00,STOUGHTON RD,TOW,10,Tuesday
24P3200004,2024-01-02 10:26:00,STOUGHTON RD,004,10,Tuesday
24P3200005,2024-01-02 11:05:00,CORRY ST,072,11,Tuesday
24P3200006,2024-01-03 08:16:00,DOTY ST,Meter,8,Wednesday
24P3200007,2024-01-03 08:29:00,MARTIN LUTHER KING JR BLVD,Meter,8,Wednesday
24P3200008,2024-01-03 08:51:00,WILSON ST,Meter,8,Wednesday
24P3200009,2024-01-03 09:47:00,MIFFLIN ST,Meter,9,Wednesday
24P3200010,2024-01-03 09:59:00,DAYTON ST,Meter,9,Wednesday
24P3200011,2024-01-03 11:08:00,MIFFLIN ST,Meter,11,Wednesday
24P3200012,2024-01-03 12:25:00,MAIN ST,Meter,12,Wednesday
24P3200013,2024-01-03 12:32:00,BUTLER ST,Meter,12,Wednesday
24P3200014,2024-01-03 12:45:00,KING ST,Meter,12,Wednesday
24P3200015,2024-01-03 13:02:00,WILSON ST,Meter,13,Wednesday
24P3200016,2024-01-04 08:26:00,DOTY ST,Meter,8,Thursday
24P3200017,2024-01-04 09:04:00,BUTLER ST,Meter,9,Thursday
24P3200018,2024-01-04 09:38:00,MIFFLIN ST,Meter,9,Thursday
24P3200019,2024-01-04 09:48:00,WEBSTER ST,Meter,9,Thursday
24P3200020,2024-01-04 09:54:00,HAMILTON ST,Meter,9,Thursday
24P3200021,2024-01-04 09:57:00,PINCKNEY ST,Meter,9,Thursday
24P3200022,2024-01-04 10:04:00,WISCONSIN AVE,Meter,10,Thursday
24P3200023,2024-01-04 10:10:00,MIFFLIN ST,Meter,10,Thursday
24P3200024,2024-01-04 11:24:00,WEBSTER ST,Meter,11,Thursday
24P3200025,2024-01-04 12:32:00,MAIN ST,Meter,12,Thursday
24P3200026,2024-01-04 12:39:00,MAIN ST,Meter,12,Thursday
24P3200027,2024-01-04 12:44:00,BUTLER ST,Meter,12,Thursday
24P3200028,2024-01-04 12:47:00,BUTLER ST,Meter,12,Thursday
24P3200029,2024-01-05 08:08:00,MARTIN LUTHER KING JR BLVD,Meter,8,Friday
24P3200030,2024-01-05 08:15:00,WILSON ST,Meter,8,Friday
24P3200031,2024-01-05 08:18:00,WILSON ST,Meter,8,Friday
24P3200032,2024-01-05 08:27:00,PINCKNEY ST,Meter,8,Friday
24P3200033,2024-01-05 08:31:00,WEBSTER ST,Meter,8,Friday
24P3200034,2024-01-05 08:39:00,MARTIN LUTHER KING JR BLVD,Meter,8,Friday
24P3200035,2024-01-05 09:01:00,WILSON ST,Meter,9,Friday
24P3200036,2024-01-05 09:57:00,WEBSTER ST,Meter,9,Friday
24P3200037,2024-01-05 10:01:00,WEBSTER ST,Meter,10,Friday
24P3200038,2024-01-05 10:09:00,WEBSTER ST,016,10,Friday
24P3200039,2024-01-05 10:27:00,WEBSTER ST,Meter,10,Friday
24P3200040,2024-01-05 11:42:00,WILSON ST,010,11,Friday
24P3200041,2024-01-05 11:48:00,PINCKNEY ST,Meter,11,Friday
24P3200042,2024-01-05 11:52:00,KING ST,Meter,11,Friday
24P3200043,2024-01-05 12:04:00,BUTLER ST,Meter,12,Friday
24P3200044,2024-01-05 12:44:00,WEBSTER ST,Meter,12,Friday
24P3200045,2024-01-05 12:53:00,MAIN ST,Meter,12,Friday
24P3200046,2024-01-05 12:58:00,MAIN ST,Meter,12,Friday
24P3200047,2024-01-05 13:03:00,BUTLER ST,Meter,13,Friday
24P3200048,2024-01-05 13:47:00,HAMILTON ST,Meter,13,Friday
24P3200049,2024-01-05 13:53:00,HAMILTON ST,Meter,13,Friday
24P3200050,2024-01-08 16:41:00,KING ST,Meter,16,Monday
24P3200051,2024-01-08 17:08:00,HAMILTON ST,Meter,17,Monday
24P3200052,2024-01-08 17:14:00,WEBSTER ST,Meter,17,Monday
24P3200053,2024-01-08 17:16:00,WEBSTER ST,Meter,17,Monday
24P3200054,2024-01-09 17:00:00,WILSON ST,Meter,17,Tuesday
24P3200055,2024-01-09 17:08:00,BUTLER ST,Meter,17,Tuesday
24P3200056,2024-01-09 17:11:00,BUTLER ST,Meter,17,Tuesday
24P3200057,2024-01-11 17:23:00,JOHNSON ST,083,17,Thursday
24P3200058,2024-01-11 17:34:00,JOHNSON ST,083,17,Thursday
24P3200059,2024-01-11 17:37:00,JOHNSON ST,083,17,Thursday
24P3200060,2024-01-12 18:39:00,RUTLEDGE ST,072,18,Friday
