Ticket #,Date Issue,Location,Type,Hour,Day
24P2800001,2024-01-02 08:41:00,CARRLOLL ST,Meter,8,Tuesday
24P2800002,2024-01-02 09:35:00,BROOM ST,Meter,9,Tuesday
24P2800003,2024-01-02 09:38:00,BROOM ST,Meter,9,Tuesday
24P2800004,2024-01-02 10:00:00,CARROLL ST,Meter,10,Tuesday
24P2800005,2024-01-02 10:32:00,FAIRCHILD ST,Meter,10,Tuesday
24P2800006,2024-01-02 10:59:00,WASHINGTON AVE,Meter,10,Tuesday
24P2800007,2024-01-02 11:03:00,FAIRCHILD ST,068,11,Tuesday
24P2800008,2024-01-02 11:17:00,MARTIN LUTHER KING JR BLVD,Meter,11,Tuesday
24P2800009,2024-01-02 11:17:00,MARTIN LUTHER KING JR BLVD,050,11,Tuesday
24P2800010,2024-01-02 11:22:00,WILSON ST,Meter,11,Tuesday
24P2800011,2024-01-02 12:17:00,WASHINGTON AVE,Meter,12,Tuesday
24P2800012,2024-01-02 12:19:00,WASHINGTON AVE,Meter,12,Tuesday
24P2800013,2024-01-02 12:30:00,MIFFLIN ST,Meter,12,Tuesday
24P2800014,2024-01-02 12:32:00,MIFFLIN ST,Meter,12,Tuesday
24P2800015,2024-01-02 12:38:00,DAYTON ST,Meter,12,Tuesday
24P2800016,2024-01-02 12:41:00,DAYTON ST,Meter,12,Tuesday
24P2800017,2024-01-02 13:02:00,HENRY ST,Meter,13,Tuesday
24P2800018,2024-01-02 13:18:00,JOHNSON ST,Meter,13,Tuesday
24P2800019,2024-01-02 13:24:00,DAYTON ST,Meter,13,Tuesday
24P2800020,2024-01-02 13:26:00,DAYTON ST,Meter,13,Tuesday
24P2800021,2024-01-02 13:31:00,DAYTON ST,Meter,13,Tuesday
24P2800022,2024-01-02 13:36:00,STATE ST CAPITOL RAMP,001,13,Tuesday
24P2800023,2024-01-02 13:42:00,DAYTON ST,Meter,13,Tuesday
24P2800024,2024-01-02 13:56:00,CARROLL ST,Meter,13,Tuesday
24P2800025,2024-01-02 14:06:00,CARROLL ST,Meter,14,Tuesday
24P2800026,2024-01-02 14:18:00,CARROLL ST,Meter,14,Tuesday
24P2800027,2024-01-02 14:20:00,CARROLL ST,Meter,14,Tuesday
24P2800028,2024-01-02 14:45:00,HAMILTON ST,Meter,14,Tuesday
24P2800029,2024-01-02 14:54:00,MAIN ST,Meter,14,Tuesday
24P2800030,2024-01-02 15:04:00,CARROLL ST,Meter,15,Tuesday
24P2800031,2024-01-02 15:12:00,MARTIN LUTHER KING JR BLVD,Meter,15,Tuesday
24P2800032,2024-01-03 08:37:00,WILSON ST,Meter,8,Wednesday
24P2800033,2024-01-03 08:43:00,HAMILTON ST,Meter,8,Wednesday
24P2800034,2024-01-03 08:47:00,DOTY ST,Meter,8,Wednesday
24P2800035,2024-01-03 08:53:00,MAIN ST,Meter,8,Wednesday
24P2800036,2024-01-03 08:55:00,MAIN ST,Meter,8,Wednesday
24P2800037,2024-01-03 09:01:00,WASHINGTON AVE,Meter,9,Wednesday
24P2800038,2024-01-03 09:05:00,FAIRCHILD ST,Meter,9,Wednesday
24P2800039,2024-01-03 09:32:00,WASHINGTON AVE,Meter,9,Wednesday
24P2800040,2024-01-03 09:38:00,MIFFLIN ST,Meter,9,Wednesday
24P2800041,2024-01-03 10:02:00,WASHINGTON AVE,Meter,10,Wednesday
24P2800042,2024-01-03 10:09:00,BROOM ST,Meter,10,Wednesday
24P2800043,2024-01-03 10:19:00,JOHNSON ST,Meter,10,Wednesday
24P2800044,2024-01-03 10:25:00,DAYTON ST,Meter,10,Wednesday
24P2800045,2024-01-03 10:28:00,STATE ST CAPITOL RAMP,001,10,Wednesday
24P2800046,2024-01-03 10:33:00,CARROLL ST,Meter,10,Wednesday
24P2800047,2024-01-03 10:35:00,CARROLL ST,Meter,10,Wednesday
24P2800048,2024-01-03 10:45:00,CARROLL ST,Meter,10,Wednesday
24P2800049,2024-01-03 12:31:00,MARTIN LUTHER KING JR BLVD,Meter,12,Wednesday
24P2800050,2024-01-03 12:38:00,MARTIN LUTHER KING JR BLVD,W010,12,Wednesday
24P2800051,2024-01-03 13:06:00,WILSON ST,Meter,13,Wednesday
24P2800052,2024-01-03 13:14:00,DOTY ST,Meter,13,Wednesday
24P2800053,2024-01-03 13:16:00,DOTY ST,Meter,13,Wednesday
24P2800054,2024-01-03 13:25:00,FAIRCHILD ST,Meter,13,Wednesday
24P2800055,2024-01-03 13:27:00,FAIRCHILD ST,Meter,13,Wednesday
24P2800056,2024-01-03 13:30:00,FAIRCHILD ST,Meter,13,Wednesday
24P2800057,2024-01-03 13:34:00,MAIN ST,Meter,13,Wednesday
24P2800058,2024-01-03 13:36:00,MAIN ST,Meter,13,Wednesday
24P2800059,2024-01-03 13:41:00,DOTY ST,Meter,13,Wednesday
24P2800060,2024-01-03 13:52:00,WASHINGTON AVE,W010,13,Wednesday
24P2800061,2024-01-03 13:58:00,FAIRCHILD ST,Meter,13,Wednesday
24P2800062,2024-01-03 14:02:00,MIFFLIN ST,Meter,14,Wednesday
24P2800063,2024-01-03 14:06:00,DAYTON ST,Meter,14,Wednesday
24P2800064,2024-01-03 14:38:00,BROOM ST,Meter,14,Wednesday
24P2800065,2024-01-03 14:52:00,STATE ST CAPITOL RAMP,135,14,Wednesday
24P2800066,2024-01-03 14:55:00,STATE ST CAPITOL RAMP,001,14,Wednesday
24P2800067,2024-01-03 14:58:00,STATE ST CAPITOL RAMP,001,14,Wednesday
24P2800068,2024-01-03 15:10:00,CARROLL ST,Meter,15,Wednesday
24P2800069,2024-01-04 08:48:00,DOTY ST,Meter,8,Thursday
24P2800070,2024-01-04 08:58:00,CARROLL ST,Meter,8,Thursday
24P2800071,2024-01-04 09:07:00,DOTY ST,Meter,9,Thursday
24P2800072,2024-01-04 09:15:00,CARROLL ST,Meter,9,Thursday
24P2800073,2024-01-04 09:23:00,HAMILTON ST,Meter,9,Thursday
24P2800074,2024-01-04 09:26:00,DOTY ST,Meter,9,Thursday
24P2800075,2024-01-04 09:39:00,MAIN ST,Meter,9,Thursday
24P2800076,2024-01-04 09:45:00,HAMILTON ST,Meter,9,Thursday
24P2800077,2024-01-04 09:49:00,HAMILTON ST,Meter,9,Thursday
24P2800078,2024-01-04 09:51:00,HAMILTON ST,Meter,9,Thursday
24P2800079,2024-01-04 09:55:00,HAMILTON ST,Meter,9,Thursday
24P2800080,2024-01-04 10:38:00,BROOM ST,Meter,10,Thursday
24P2800081,2024-01-04 10:52:00,DAYTON ST,Meter,10,Thursday
24P2800082,2024-01-04 10:54:00,DAYTON ST,Meter,10,Thursday
24P2800083,2024-01-04 11:02:00,DAYTON ST,Meter,11,Thursday
24P2800084,2024-01-04 11:07:00,DAYTON ST,Meter,11,Thursday
24P2800085,2024-01-04 11:11:00,MIFFLIN ST,Meter,11,Thursday
24P2800086,2024-01-04 11:20:00,WASHINGTON AVE,Meter,11,Thursday
24P2800087,2024-01-04 12:45:00,MARTIN LUTHER KING JR BLVD,Meter,12,Thursday
24P2800088,2024-01-04 12:51:00,CARROLL ST,010,12,Thursday
24P2800089,2024-01-04 13:05:00,MAIN ST,Meter,13,Thursday
24P2800090,2024-01-04 13:10:00,MAIN ST,Meter,13,Thursday
24P2800091,2024-01-04 13:11:00,MAIN ST,Meter,13,Thursday
24P2800092,2024-01-04 13:13:00,MAIN ST,Meter,13,Thursday
24P2800093,2024-01-04 13:17:00,MAIN ST,Meter,13,Thursday
24P2800094,2024-01-04 13:31:00,MIFFLIN ST,Meter,13,Thursday
24P2800095,2024-01-04 13:35:00,MIFFLIN ST,Meter,13,Thursday
24P2800096,2024-01-04 13:41:00,DAYTON ST,Meter,13,Thursday
24P2800097,2024-01-04 13:45:00,HENRY ST,Meter,13,Thursday
24P2800098,2024-01-04 13:47:00,HENRY ST,Meter,13,Thursday
24P2800099,2024-01-04 14:04:00,MIFFLIN ST,Meter,14,Thursday
24P2800100,2024-01-04 14:17:00,STATE ST,063,14,Thursday
24P2800101,2024-01-04 14:27:00,DAYTON ST,010,14,Thursday
24P2800102,2024-01-04 14:35:00,WISCONSIN AVE,Meter,14,Thursday
24P2800103,2024-01-04 14:38:00,WISCONSIN AVE,Meter,14,Thursday
24P2800104,2024-01-04 14:41:00,MIFFLIN ST,Meter,14,Thursday
24P2800105,2024-01-04 14:47:00,CARROLL ST,Meter,14,Thursday
24P2800106,2024-01-04 14:49:00,CARROLL ST,Meter,14,Thursday
24P2800107,2024-01-04 14:51:00,CARROLL ST,Meter,14,Thursday
24P2800108,2024-01-04 14:56:00,WASHINGTON AVE,010,14,Thursday
24P2800109,2024-01-04 15:01:00,FAIRCHILD ST,Meter,15,Thursday
24P2800110,2024-01-04 15:04:00,MIFFLIN ST,Meter,15,Thursday
24P2800111,2024-01-04 15:15:00,HAMILTON ST,016,15,Thursday
24P2800112,2024-01-05 09:01:00,WILSON ST,Meter,9,Friday
24P2800113,2024-01-05 09:06:00,HAMILTON ST,Meter,9,Friday
24P2800114,2024-01-05 09:10:00,FAIRCHILD ST,Meter,9,Friday
24P2800115,2024-01-05 09:21:00,DOTY ST,068,9,Friday
24P2800116,2024-01-05 09:26:00,DOTY ST,Meter,9,Friday
24P2800117,2024-01-05 09:34:00,HENRY ST,Meter,9,Friday
24P2800118,2024-01-05 09:34:00,HENRY ST,050,9,Friday
24P2800119,2024-01-05 09:47:00,FAIRCHILD ST,Meter,9,Friday
24P2800120,2024-01-05 09:54:00,WASHINGTON AVE,Meter,9,Friday
24P2800121,2024-01-05 10:00:00,FAIRCHILD ST,Meter,10,Friday
24P2800122,2024-01-05 10:04:00,MIFFLIN ST,Meter,10,Friday
24P2800123,2024-01-05 10:07:00,MIFFLIN ST,Meter,10,Friday
24P2800124,2024-01-05 10:38:00,JOHNSON ST,Meter,10,Friday
24P2800125,2024-01-05 10:47:00,STATE ST CAPITOL RAMP,001,10,Friday
24P2800126,2024-01-05 10:50:00,STATE ST CAPITOL RAMP,001,10,Friday
24P2800127,2024-01-05 10:54:00,DAYTON ST,Meter,10,Friday
24P2800128,2024-01-05 10:56:00,DAYTON ST,Meter,10,Friday
24P2800129,2024-01-05 11:27:00,HENRY ST,Meter,11,Friday
24P2800130,2024-01-05 11:29:00,HENRY ST,Meter,11,Friday
