Ticket #,Date Issue,Location,Type,Hour,Day
24P2200001,2024-01-03 15:01:00,BEDFORD STREET,W050,15,Wednesday
24P2200002,2024-01-03 16:11:00,WILLIAMSON STREET,TOW,16,Wednesday
24P2200003,2024-01-03 16:11:00,WILLIAMSON STREET,103,16,Wednesday
24P2200004,2024-01-03 17:28:00,BROOM STREET,W050,17,Wednesday
24P2200005,2024-01-03 18:55:00,WINNEBAGO STREET,075,18,Wednesday
24P2200006,2024-01-03 18:58:00,WINNEBAGO STREET,050,18,Wednesday
24P2200007,2024-01-03 19:31:00,DUNNING STREET,075,19,Wednesday
24P2200008,2024-01-03 20:31:00,MIFFLIN STREET,016,20,Wednesday
24P2200009,2024-01-04 15:33:00,JOHNSON STREET,101,15,Thursday
24P2200010,2024-01-04 15:44:00,GORHAM STREET,083,15,Thursday
24P2200011,2024-01-04 16:08:00,WILLIAMSON STREET,TOW,16,Thursday
24P2200012,2024-01-04 16:08:00,WILLIAMSON STREET,103,16,Thursday
24P2200013,2024-01-04 16:14:00,WILLIAMSON STREET,TOW,16,Thursday
24P2200014,2024-01-04 16:14:00,WILLIAMSON STREET,103,16,Thursday
24P2200015,2024-01-04 16:17:00,WILLIAMSON STREET,TOW,16,Thursday
24P2200016,2024-01-04 16:17:00,WILLIAMSON STREET,103,16,Thursday
24P2200017,2024-01-04 16:25:00,WILLIAMSON STREET,TOW,16,Thursday
24P2200018,2024-01-04 16:25:00,WILLIAMSON STREET,103,16,Thursday
24P2200019,2024-01-04 17:53:00,JOHNSON STREET,101,17,Thursday
24P2200020,2024-01-04 18:33:00,HAMILTON STREET,050,18,Thursday
24P2200021,2024-01-04 18:38:00,MARTIN LUTHER KING BOULEVARD,016,18,Thursday
24P2200022,2024-01-04 18:44:00,MAIN STREET,075,18,Thursday
24P2200023,2024-01-04 19:31:00,JENNIFER STREET,033,19,Thursday
24P2200024,2024-01-04 19:39:00,RUSSELL STREET,050,19,Thursday
24P2200025,2024-01-04 19:44:00,RUSSELL STREET,W050,19,Thursday
24P2200026,2024-01-04 19:48:00,WINNEBAGO STREET,016,19,Thursday
24P2200027,2024-01-04 20:12:00,WILLIAMSON STREET,063,20,Thursday
24P2200028,2024-01-04 20:16:00,BALDWIN STREET,W050,20,Thursday
24P2200029,2024-01-04 21:19:00,DOTY STREET,075,21,Thursday
24P2200030,2024-01-04 21:22:00,DOTY STREET,W050,21,Thursday
24P2200031,2024-01-04 21:42:00,LAKE STREET,W050,21,Thursday
24P2200032,2024-01-05 15:08:00,JOHNSON STREET,TOW,15,Friday
24P2200033,2024-01-05 15:08:00,JOHNSON STREET,101,15,Friday
24P2200034,2024-01-05 15:26:00,JOHN NOLAND DRIVE,083,15,Friday
24P2200035,2024-01-05 16:05:00,WILLIAMSON STREET,TOW,16,Friday
24P2200036,2024-01-05 16:05:00,WILLIAMSON STREET,103,16,Friday
