Ticket #,Date Issue,Location,Type,Hour,Day
24P1500001,2024-01-02 08:13:00,ASPEN GROVE LN,004,8,Tuesday
24P1500002,2024-01-02 11:22:00,ISLAND DR,050,11,Tuesday
24P1500003,2024-01-02 11:42:00,MASTHEAD DR,050,11,Tuesday
24P1500004,2024-01-02 13:34:00,CAMERON DR,050,13,Tuesday
24P1500005,2024-01-02 14:04:00,BRITTA DR,050,14,Tuesday
24P1500006,2024-01-03 07:36:00,MILLS ST,047,7,Wednesday
24P1500007,2024-01-03 08:32:00,GILMAN ST,W050,8,Wednesday
24P1500008,2024-01-03 08:37:00,GILMAN ST,W050,8,Wednesday
24P1500009,2024-01-03 08:39:00,GILMAN ST,050,8,Wednesday
24P1500010,2024-01-03 08:41:00,GILMAN ST,050,8,Wednesday
24P1500011,2024-01-03 08:53:00,GILMAN ST,W050,8,Wednesday
24P1500012,2024-01-03 09:11:00,BUTLER ST,050,9,Wednesday
24P1500013,2024-01-03 09:14:00,BUTLER ST,050,9,Wednesday
24P1500014,2024-01-03 09:44:00,HANCOCK ST,W050,9,Wednesday
24P1500015,2024-01-03 09:49:00,HANCOCK ST,W050,9,Wednesday
24P1500016,2024-01-03 09:57:00,FRANKLIN ST,W050,9,Wednesday
24P1500017,2024-01-03 09:58:00,FRANKLIN ST,W050,9,Wednesday
24P1500018,2024-01-03 10:05:00,FRANKLIN ST,W050,10,Wednesday
24P1500019,2024-01-03 10:09:00,FRANKLIN ST,050,10,Wednesday
24P1500020,2024-01-03 10:13:00,FRANKLIN ST,050,10,Wednesday
24P1500021,2024-01-03 10:23:00,FRANKLIN ST,W050,10,Wednesday
24P1500022,2024-01-03 11:10:00,HANCOCK ST,W050,11,Wednesday
24P1500023,2024-01-03 11:36:00,FRANKLIN ST,033,11,Wednesday
24P1500024,2024-01-03 12:39:00,GILMAN ST,Parking,12,Wednesday
24P1500025,2024-01-03 12:47:00,GILMAN ST,Parking,12,Wednesday
24P1500026,2024-01-03 12:47:00,GILMAN ST,TOW,12,Wednesday
24P1500027,2024-01-03 12:54:00,GILMAN ST,Parking,12,Wednesday
24P1500028,2024-01-03 13:16:00,BUTLER ST,Parking,13,Wednesday
24P1500029,2024-01-03 13:36:00,FRANKLIN ST,050,13,Wednesday
24P1500030,2024-01-03 13:44:00,FRANKLIN ST,Parking,13,Wednesday
24P1500031,2024-01-03 13:47:00,FRANKLIN ST,Parking,13,Wednesday
24P1500032,2024-01-03 13:54:00,FRANKLIN ST,Parking,13,Wednesday
24P1500033,2024-01-03 14:10:00,HANCOCK ST,Parking,14,Wednesday
24P1500034,2024-01-03 14:13:00,HANCOCK ST,Parking,14,Wednesday
