Ticket #,Date Issue,Location,Type,Hour,Day
24P3000001,2024-01-02 14:57:00,LANGDON ST,Meter,14,Tuesday
24P3000002,2024-01-02 15:01:00,LANGDON ST,Meter,15,Tuesday
24P3000003,2024-01-02 15:05:00,LANGDON ST,Meter,15,Tuesday
24P3000004,2024-01-02 15:07:00,LANGDON ST,Meter,15,Tuesday
24P3000005,2024-01-02 15:27:00,DAYTON ST,Meter,15,Tuesday
24P3000006,2024-01-02 15:29:00,DAYTON ST,Meter,15,Tuesday
24P3000007,2024-01-02 16:01:00,MONROE ST,Meter,16,Tuesday
24P3000008,2024-01-02 16:04:00,MONROE ST,Meter,16,Tuesday
24P3000009,2024-01-02 16:10:00,HARRISON ST,Meter,16,Tuesday
24P3000010,2024-01-02 16:28:00,MAIN ST,083,16,Tuesday
24P3000011,2024-01-02 16:31:00,MAIN ST,083,16,Tuesday
24P3000012,2024-01-02 17:25:00,MAIN ST,Meter,17,Tuesday
24P3000013,2024-01-02 17:25:00,MAIN ST,050,17,Tuesday
24P3000014,2024-01-02 20:38:00,MILWAUKEE ST,016,20,Tuesday
24P3000015,2024-01-02 20:38:00,MILWAUKEE ST,050,20,Tuesday
24P3000016,2024-01-02 20:46:00,WALTER ST,050,20,Tuesday
24P3000017,2024-01-03 15:40:00,MAIN ST,Meter,15,Wednesday
24P3000018,2024-01-03 15:45:00,KING ST,Meter,15,Wednesday
24P3000019,2024-01-03 15:49:00,KING ST,Meter,15,Wednesday
24P3000020,2024-01-03 15:57:00,PINCKNEY ST,Meter,15,Wednesday
24P3000021,2024-01-03 15:59:00,PINCKNEY ST,Meter,15,Wednesday
24P3000022,2024-01-03 15:59:00,PINCKNEY ST,050,15,Wednesday
24P3000023,2024-01-03 16:19:00,WILSON ST,Meter,16,Wednesday
24P3000024,2024-01-03 16:24:00,WILSON ST,Meter,16,Wednesday
24P3000025,2024-01-03 16:29:00,WILSON ST,Meter,16,Wednesday
24P3000026,2024-01-03 16:35:00,MAIN ST,016,16,Wednesday
24P3000027,2024-01-03 16:38:00,MAIN ST,Meter,16,Wednesday
24P3000028,2024-01-03 16:40:00,MAIN ST,Meter,16,Wednesday
24P3000029,2024-01-03 16:45:00,HENRY ST,Meter,16,Wednesday
24P3000030,2024-01-03 16:49:00,WASHINGTON AVE,Meter,16,Wednesday
24P3000031,2024-01-03 17:08:00,BROOM ST,Meter,17,Wednesday
24P3000032,2024-01-03 17:10:00,BROOM ST,Meter,17,Wednesday
24P3000033,2024-01-03 17:15:00,BROOM ST,Meter,17,Wednesday
24P3000034,2024-01-03 17:17:00,BROOM ST,Meter,17,Wednesday
24P3000035,2024-01-03 17:34:00,HANCOCK ST,Meter,17,Wednesday
24P3000036,2024-01-03 17:36:00,HANCOCK ST,Meter,17,Wednesday
24P3000037,2024-01-03 17:40:00,MAIN ST,Meter,17,Wednesday
24P3000038,2024-01-03 17:48:00,BUTLER ST,Meter,17,Wednesday
24P3000039,2024-01-03 17:51:00,BUTLER ST,Meter,17,Wednesday
24P3000040,2024-01-04 15:08:00,WILSON ST,Meter,15,Thursday
24P3000041,2024-01-04 15:12:00,WILSON ST,050,15,Thursday
24P3000042,2024-01-04 15:38:00,DAYTON ST,072,15,Thursday
24P3000043,2024-01-04 16:02:00,WEBSTER ST,Meter,16,Thursday
24P3000044,2024-01-04 16:05:00,WEBSTER ST,Meter,16,Thursday
24P3000045,2024-01-04 16:07:00,WEBSTER ST,Meter,16,Thursday
24P3000046,2024-01-04 17:17:00,THOMPSON DR,050,17,Thursday
24P3000047,2024-01-04 17:44:00,THOMPSON DR,050,17,Thursday
24P3000048,2024-01-05 02:15:00,NORTH LAWN AVE,149,2,Friday
24P3000049,2024-01-05 02:24:00,NORTH LAWN AVE,149,2,Friday
24P3000050,2024-01-05 02:25:00,NORTH LAWN AVE,149,2,Friday
24P3000051,2024-01-05 02:26:00,NORTH LAWN AVE,149,2,Friday
24P3000052,2024-01-05 02:36:00,BURKE AVE,149,2,Friday
24P3000053,2024-01-05 02:44:00,GANNON AVE,149,2,Friday
24P3000054,2024-01-05 02:47:00,FAIR OAKS AVE,149,2,Friday
24P3000055,2024-01-05 02:50:00,FAIR OAKS AVE,149,2,Friday
24P3000056,2024-01-05 02:51:00,FAIR OAKS AVE,149,2,Friday
24P3000057,2024-01-05 02:53:00,FAIR OAKS AVE,149,2,Friday
24P3000058,2024-01-05 02:57:00,CHRISTIANSON AVE,149,2,Friday
24P3000059,2024-01-05 03:01:00,JACOBSON AVE,149,3,Friday
24P3000060,2024-01-05 03:04:00,JACOBSON AVE,149,3,Friday
24P3000061,2024-01-05 03:08:00,FAIRMONT AVE,149,3,Friday
24P3000062,2024-01-05 03:09:00,FAIRMONT AVE,149,3,Friday
24P3000063,2024-01-05 03:14:00,FAIRMONT AVE,149,3,Friday
24P3000064,2024-01-05 03:14:00,FAIRMONT AVE,050,3,Friday
24P3000065,2024-01-05 03:17:00,FAIRMONT AVE,149,3,Friday
24P3000066,2024-01-05 03:17:00,FAIRMONT AVE,050,3,Friday
24P3000067,2024-01-05 03:18:00,FAIRMONT AVE,149,3,Friday
24P3000068,2024-01-05 03:20:00,FAIRMONT AVE,149,3,Friday
24P3000069,2024-01-05 03:22:00,FAIRMONT AVE,149,3,Friday
24P3000070,2024-01-05 03:24:00,FAIRMONT AVE,149,3,Friday
24P3000071,2024-01-05 03:26:00,FAIRMONT AVE,149,3,Friday
24P3000072,2024-01-05 03:27:00,FAIRMONT AVE,149,3,Friday
24P3000073,2024-01-05 03:29:00,FAIRMONT AVE,149,3,Friday
24P3000074,2024-01-05 03:31:00,FAIRMONT AVE,149,3,Friday
24P3000075,2024-01-05 03:38:00,MAYFAIR AVE,149,3,Friday
24P3000076,2024-01-05 03:41:00,MAYFAIR AVE,149,3,Friday
24P3000077,2024-01-05 03:42:00,MAYFAIR AVE,149,3,Friday
24P3000078,2024-01-05 03:44:00,MAYFAIR AVE,149,3,Friday
24P3000079,2024-01-05 04:08:00,BRIGHAM AVE,080,4,Friday
24P3000080,2024-01-05 04:14:00,BRIGHAM AVE,149,4,Friday
24P3000081,2024-01-05 04:14:00,BRIGHAM AVE,050,4,Friday
24P3000082,2024-01-05 04:15:00,BRIGHAM AVE,149,4,Friday
24P3000083,2024-01-05 04:19:00,CHERRY AVE,149,4,Friday
24P3000084,2024-01-05 04:22:00,ROSEDALE AVE,149,4,Friday
24P3000085,2024-01-05 04:25:00,CONCORD AVE,149,4,Friday
24P3000086,2024-01-05 04:29:00,PRAIRIE AVE,149,4,Friday
24P3000087,2024-01-05 04:31:00,PRAIRIE AVE,149,4,Friday
24P3000088,2024-01-05 04:34:00,ALBERT CT,149,4,Friday
24P3000089,2024-01-05 04:37:00,MAYFAIR AVE,149,4,Friday
24P3000090,2024-01-05 04:38:00,MAYFAIR AVE,149,4,Friday
24P3000091,2024-01-05 04:40:00,MAYFAIR AVE,149,4,Friday
24P3000092,2024-01-05 04:40:00,MAYFAIR AVE,149,4,Friday
24P3000093,2024-01-05 04:42:00,MAYFAIR AVE,149,4,Friday
24P3000094,2024-01-05 04:42:00,MAYFAIR AVE,050,4,Friday
24P3000095,2024-01-05 04:45:00,MAYFAIR AVE,149,4,Friday
24P3000096,2024-01-05 04:46:00,MAYFAIR AVE,149,4,Friday
24P3000097,2024-01-05 04:47:00,MAYFAIR AVE,149,4,Friday
24P3000098,2024-01-05 04:48:00,MAYFAIR AVE,149,4,Friday
24P3000099,2024-01-05 04:49:00,MAYFAIR AVE,149,4,Friday
