Ticket #,Date Issue,Location,Type,Hour,Day
24P2700001,2024-01-10 01:28:00,UNION ST,148,1,Wednesday
24P2700002,2024-01-10 01:34:00,UNION ST,148,1,Wednesday
24P2700003,2024-01-10 01:35:00,UNION ST,148,1,Wednesday
24P2700004,2024-01-10 01:37:00,UNION ST,148,1,Wednesday
24P2700005,2024-01-10 01:45:00,MARQUETTE ST,148,1,Wednesday
24P2700006,2024-01-10 01:56:00,OAK ST,148,1,Wednesday
24P2700007,2024-01-10 01:59:00,OAK ST,148,1,Wednesday
24P2700008,2024-01-10 02:04:00,OAK ST,148,2,Wednesday
24P2700009,2024-01-10 02:10:00,OAK ST,148,2,Wednesday
24P2700010,2024-01-10 02:14:00,OAK ST,148,2,Wednesday
24P2700011,2024-01-10 02:21:00,FARWELL ST,148,2,Wednesday
24P2700012,2024-01-10 02:29:00,MARQUETTE ST,148,2,Wednesday
24P2700013,2024-01-10 02:34:00,MILWAUKEE ST,148,2,Wednesday
24P2700014,2024-01-10 02:44:00,GANNON AVE,148,2,Wednesday
24P2700015,2024-01-10 02:49:00,CHICAGO AVE,148,2,Wednesday
24P2700016,2024-01-10 02:51:00,CHICAGO AVE,148,2,Wednesday
24P2700017,2024-01-10 03:01:00,HERMINA ST,148,3,Wednesday
24P2700018,2024-01-10 03:09:00,UNION ST,148,3,Wednesday
24P2700019,2024-01-10 03:09:00,UNION ST,050,3,Wednesday
24P2700020,2024-01-10 03:12:00,UNION ST,148,3,Wednesday
24P2700021,2024-01-10 03:20:00,ROSEMARY AVE,148,3,Wednesday
24P2700022,2024-01-10 03:25:00,ROSEMARY AVE,148,3,Wednesday
24P2700023,2024-01-10 03:28:00,ROSEMARY AVE,148,3,Wednesday
24P2700024,2024-01-10 03:32:00,ROSEMARY AVE,148,3,Wednesday
24P2700025,2024-01-10 03:32:00,ROSEMARY AVE,050,3,Wednesday
24P2700026,2024-01-10 03:48:00,ROSEMARY AVE,148,3,Wednesday
24P2700027,2024-01-10 03:53:00,ROSEMARY AVE,148,3,Wednesday
24P2700028,2024-01-10 03:57:00,ROSEMARY AVE,148,3,Wednesday
24P2700029,2024-01-10 04:04:00,ROSEMARY AVE,148,4,Wednesday
24P2700030,2024-01-10 04:09:00,WORTHINGTON AVE,148,4,Wednesday
24P2700031,2024-01-10 04:20:00,WELLS AVE,148,4,Wednesday
24P2700032,2024-01-10 04:20:00,WELLS AVE,050,4,Wednesday
24P2700033,2024-01-10 04:31:00,WINNEBAGO ST,148,4,Wednesday
24P2700034,2024-01-10 04:33:00,WINNEBAGO ST,148,4,Wednesday
24P2700035,2024-01-10 04:36:00,WINNEBAGO ST,148,4,Wednesday
24P2700036,2024-01-10 04:39:00,WINNEBAGO ST,148,4,Wednesday
24P2700037,2024-01-10 04:43:00,WINNEBAGO ST,148,4,Wednesday
24P2700038,2024-01-10 04:50:00,WINNEBAGO ST,148,4,Wednesday
24P2700039,2024-01-10 05:03:00,WINNEBAGO ST,148,5,Wednesday
24P2700040,2024-01-10 05:03:00,WINNEBAGO ST,050,5,Wednesday
24P2700041,2024-01-10 05:05:00,WINNEBAGO ST,148,5,Wednesday
24P2700042,2024-01-10 05:08:00,WINNEBAGO ST,148,5,Wednesday
24P2700043,2024-01-10 05:10:00,WINNEBAGO ST,148,5,Wednesday
24P2700044,2024-01-10 05:12:00,WINNEBAGO ST,148,5,Wednesday
24P2700045,2024-01-10 05:15:00,WINNEBAGO ST,148,5,Wednesday
24P2700046,2024-01-10 05:19:00,WINNEBAGO ST,148,5,Wednesday
24P2700047,2024-01-10 05:28:00,MAIN ST,148,5,Wednesday
24P2700048,2024-01-10 05:31:00,MAIN ST,148,5,Wednesday
24P2700049,2024-01-10 05:33:00,MAIN ST,148,5,Wednesday
24P2700050,2024-01-10 05:35:00,MAIN ST,148,5,Wednesday
24P2700051,2024-01-10 05:42:00,MAIN ST,148,5,Wednesday
24P2700052,2024-01-10 05:55:00,WINNEBAGO ST,148,5,Wednesday
24P2700053,2024-01-10 06:00:00,ATWOOD AVE,148,6,Wednesday
24P2700054,2024-01-10 06:04:00,ATWOOD AVE,148,6,Wednesday
24P2700055,2024-01-10 06:04:00,ATWOOD AVE,050,6,Wednesday
24P2700056,2024-01-10 06:09:00,ATWOOD AVE,148,6,Wednesday
24P2700057,2024-01-11 01:19:00,GANNON AVE,148,1,Thursday
24P2700058,2024-01-11 01:19:00,GANNON AVE,050,1,Thursday
24P2700059,2024-01-11 01:27:00,WELLS AVE,148,1,Thursday
