Ticket #,Date Issue,Location,Type,Hour,Day
24P1100001,2024-02-05 07:21:00,DRAKE ST,048,7,Monday
24P1100002,2024-02-05 08:06:00,DRAKE ST,048,8,Monday
24P1100003,2024-02-05 08:43:00,BOWEN CT,048,8,Monday
24P1100004,2024-02-05 08:45:00,BOWEN CT,048,8,Monday
24P1100005,2024-02-05 08:47:00,BOWEN CT,048,8,Monday
24P1100006,2024-02-05 08:48:00,BOWEN CT,048,8,Monday
24P1100007,2024-02-05 08:53:00,VILAS AVE,048,8,Monday
24P1100008,2024-02-05 08:58:00,DRAKE ST,048,8,Monday
24P1100009,2024-02-05 09:01:00,CHANDLER ST,048,9,Monday
24P1100010,2024-02-05 09:03:00,CHANDLER ST,048,9,Monday
24P1100011,2024-02-05 09:06:00,MOUND ST,048,9,Monday
24P1100012,2024-02-05 09:08:00,MOUND ST,048,9,Monday
24P1100013,2024-02-05 09:09:00,MOUND ST,048,9,Monday
24P1100014,2024-02-05 09:12:00,MOUND ST,048,9,Monday
24P1100015,2024-02-05 09:12:00,MOUND ST,048,9,Monday
24P1100016,2024-02-05 09:14:00,MOUND ST,048,9,Monday
24P1100017,2024-02-05 09:15:00,MOUND ST,048,9,Monday
24P1100018,2024-02-05 09:16:00,MOUND ST,048,9,Monday
24P1100019,2024-02-05 09:17:00,MOUND ST,048,9,Monday
24P1100020,2024-02-05 09:22:00,MILTON ST,048,9,Monday
24P1100021,2024-02-05 09:24:00,MILTON ST,080,9,Monday
24P1100022,2024-02-05 09:25:00,MILTON ST,048,9,Monday
24P1100023,2024-02-05 09:26:00,MILTON ST,048,9,Monday
24P1100024,2024-02-05 09:27:00,MILTON ST,048,9,Monday
24P1100025,2024-02-05 09:37:00,EMERALD ST,048,9,Monday
24P1100026,2024-02-05 09:39:00,EMERALD ST,048,9,Monday
24P1100027,2024-02-05 09:39:00,EMERALD ST,050,9,Monday
24P1100028,2024-02-05 09:44:00,DELAPLAINE CT,048,9,Monday
24P1100029,2024-02-05 09:49:00,HAYWOOD DR,048,9,Monday
24P1100030,2024-02-05 09:49:00,HAYWOOD DR,050,9,Monday
24P1100031,2024-02-05 09:53:00,HAYWOOD DR,048,9,Monday
