Ticket #,Date Issue,Location,Type,Hour,Day
24P1200001,2024-01-02 15:18:00,BEDFORD ST,075,15,Tuesday
24P1200002,2024-01-02 15:27:00,WASHINGTON AVE,075,15,Tuesday
24P1200003,2024-01-02 16:07:00,MONROE ST,103,16,Tuesday
24P1200004,2024-01-02 16:07:00,MONROE ST,TOW,16,Tuesday
24P1200005,2024-01-02 16:24:00,REGENT ST,103,16,Tuesday
24P1200006,2024-01-02 16:24:00,REGENT ST,TOW,16,Tuesday
24P1200007,2024-01-02 16:25:00,REGENT ST,103,16,Tuesday
24P1200008,2024-01-02 17:22:00,MONROE ST,103,17,Tuesday
24P1200009,2024-01-02 18:02:00,BROOKS ST,050,18,Tuesday
24P1200010,2024-01-02 18:05:00,DELAPLAINE CT,046,18,Tuesday
24P1200011,2024-01-02 19:11:00,MIFFLIN ST,046,19,Tuesday
24P1200012,2024-01-02 19:16:00,MIFFLIN ST,050,19,Tuesday
24P1200013,2024-01-02 19:20:00,MARION ST,075,19,Tuesday
24P1200014,2024-01-02 19:22:00,MARION ST,075,19,Tuesday
24P1200015,2024-01-02 19:23:00,MARION ST,075,19,Tuesday
24P1200016,2024-01-02 19:26:00,DAYTON ST,063,19,Tuesday
24P1200017,2024-01-02 19:31:00,DAYTON ST,063,19,Tuesday
24P1200018,2024-01-02 19:57:00,DAYTON ST,075,19,Tuesday
24P1200019,2024-01-02 20:05:00,DAYTON ST,046,20,Tuesday
24P1200020,2024-01-02 20:41:00,BUCKEYE LOT,001,20,Tuesday
24P1200021,2024-01-02 20:42:00,BUCKEYE LOT,001,20,Tuesday
24P1200022,2024-01-02 20:44:00,BUCKEYE LOT,001,20,Tuesday
24P1200023,2024-01-02 20:46:00,BUCKEYE LOT,001,20,Tuesday
24P1200024,2024-01-02 20:48:00,BUCKEYE LOT,001,20,Tuesday
24P1200025,2024-01-02 21:47:00,BEDFORD ST,075,21,Tuesday
24P1200026,2024-01-03 16:28:00,PARK ST,103,16,Wednesday
24P1200027,2024-01-03 16:28:00,PARK ST,TOW,16,Wednesday
24P1200028,2024-01-03 16:56:00,PARK ST,103,16,Wednesday
24P1200029,2024-01-03 17:32:00,PARK ST,103,17,Wednesday
24P1200030,2024-01-03 19:33:00,BUCKEYE LOT,001,19,Wednesday
24P1200031,2024-01-03 19:35:00,BUCKEYE LOT,001,19,Wednesday
24P1200032,2024-01-03 19:38:00,BUCKEYE LOT,001,19,Wednesday
24P1200033,2024-01-03 19:40:00,BUCKEYE LOT,001,19,Wednesday
24P1200034,2024-01-03 19:41:00,BUCKEYE LOT,001,19,Wednesday
24P1200035,2024-01-03 19:45:00,BUCKEYE LOT,001,19,Wednesday
24P1200036,2024-01-03 20:35:00,FRANCES ST,075,20,Wednesday
24P1200037,2024-01-03 20:45:00,BEDFORD ST,063,20,Wednesday
24P1200038,2024-01-04 16:06:00,REGENT ST,103,16,Thursday
24P1200039,2024-01-04 16:06:00,REGENT ST,TOW,16,Thursday
24P1200040,2024-01-04 16:25:00,REGENT ST,103,16,Thursday
24P1200041,2024-01-04 16:25:00,REGENT ST,TOW,16,Thursday
24P1200042,2024-01-04 18:30:00,BUCKEYE LOT,001,18,Thursday
24P1200043,2024-01-04 18:32:00,BUCKEYE LOT,001,18,Thursday
24P1200044,2024-01-04 18:33:00,BUCKEYE LOT,001,18,Thursday
24P1200045,2024-01-04 18:37:00,BUCKEYE LOT,001,18,Thursday
24P1200046,2024-01-04 18:40:00,BUCKEYE LOT,001,18,Thursday
24P1200047,2024-01-04 18:42:00,BUCKEYE LOT,001,18,Thursday
24P1200048,2024-01-04 20:03:00,MONROE ST,001,20,Thursday
24P1200049,2024-01-04 20:04:00,MONROE ST,001,20,Thursday
24P1200050,2024-01-04 20:06:00,MONROE ST,001,20,Thursday
24P1200051,2024-01-04 20:07:00,MONROE ST,001,20,Thursday
24P1200052,2024-01-04 20:10:00,MONROE ST,001,20,Thursday
24P1200053,2024-01-04 20:12:00,MONROE ST,001,20,Thursday
24P1200054,2024-01-04 21:22:00,MAIN ST,046,21,Thursday
24P1200055,2024-01-04 21:34:00,DELAPLAINE CT,046,21,Thursday
24P1200056,2024-01-05 14:56:00,STONEBRIDGE DR,071,14,Friday
24P1200057,2024-01-05 15:17:00,ODANA RD,016,15,Friday
24P1200058,2024-01-05 16:08:00,MONROE ST,103,16,Friday
24P1200059,2024-01-05 16:08:00,MONROE ST,TOW,16,Friday
24P1200060,2024-01-05 16:15:00,SPEEDWAY RD,103,16,Friday
24P1200061,2024-01-05 16:15:00,SPEEDWAY RD,TOW,16,Friday
24P1200062,2024-01-05 18:27:00,WEBSTER ST,151,18,Friday
24P1200063,2024-01-05 18:27:00,WEBSTER ST,TOW,18,Friday
24P1200064,2024-01-05 18:30:00,WEBSTER ST,151,18,Friday
24P1200065,2024-01-05 18:30:00,WEBSTER ST,TOW,18,Friday
24P1200066,2024-01-05 20:23:00,BUCKEYE LOT,001,20,Friday
24P1200067,2024-01-05 20:25:00,BUCKEYE LOT,001,20,Friday
24P1200068,2024-01-05 20:27:00,BUCKEYE LOT,001,20,Friday
24P1200069,2024-01-05 20:29:00,BUCKEYE LOT,001,20,Friday
24P1200070,2024-01-05 20:30:00,BUCKEYE LOT,001,20,Friday
24P1200071,2024-01-05 20:32:00,BUCKEYE LOT,001,20,Friday
24P1200072,2024-01-05 20:34:00,BUCKEYE LOT,001,20,Friday
24P1200073,2024-01-05 20:37:00,BUCKEYE LOT,001,20,Friday
24P1200074,2024-01-05 20:51:00,BUCKEYE LOT,001,20,Friday
24P1200075,2024-01-05 20:53:00,BUCKEYE LOT,001,20,Friday
24P1200076,2024-01-05 20:54:00,BUCKEYE LOT,001,20,Friday
24P1200077,2024-01-05 20:56:00,BUCKEYE LOT,001,20,Friday
24P1200078,2024-01-05 20:59:00,BUCKEYE LOT,001,20,Friday
24P1200079,2024-01-05 21:02:00,BUCKEYE LOT,001,21,Friday
24P1200080,2024-01-05 21:07:00,BUCKEYE LOT,001,21,Friday
24P1200081,2024-01-08 15:19:00,PUTNAM RD,050,15,Monday
24P1200082,2024-01-08 16:08:00,REGENT ST,103,16,Monday
24P1200083,2024-01-08 16:08:00,REGENT ST,TOW,16,Monday
24P1200084,2024-01-08 16:24:00,MONROE ST,103,16,Monday
24P1200085,2024-01-08 16:24:00,MONROE ST,TOW,16,Monday
24P1200086,2024-01-08 16:33:00,REGENT ST,103,16,Monday
24P1200087,2024-01-08 16:33:00,REGENT ST,TOW,16,Monday
24P1200088,2024-01-08 17:26:00,MONROE ST,103,17,Monday
24P1200089,2024-01-08 20:01:00,TODD DR,050,20,Monday
24P1200090,2024-01-08 21:12:00,BUCKEYE LOT,001,21,Monday
24P1200091,2024-01-08 21:15:00,BUCKEYE LOT,001,21,Monday
24P1200092,2024-01-09 16:05:00,REGENT ST,103,16,Tuesday
24P1200093,2024-01-09 16:05:00,REGENT ST,TOW,16,Tuesday
24P1200094,2024-01-10 16:14:00,SPEEDWAY RD,103,16,Wednesday
24P1200095,2024-01-10 16:14:00,SPEEDWAY RD,TOW,16,Wednesday
24P1200096,2024-01-10 17:21:00,MONROE ST,103,17,Wednesday
24P1200097,2024-01-10 19:14:00,BUCKEYE LOT,001,19,Wednesday
24P1200098,2024-01-11 14:49:00,BEDFORD ST,075,14,Thursday
24P1200099,2024-01-11 14:52:00,BEDFORD ST,050,14,Thursday
24P1200100,2024-01-11 14:53:00,BEDFORD ST,050,14,Thursday
24P1200101,2024-01-11 16:08:00,MONROE ST,103,16,Thursday
24P1200102,2024-01-11 16:08:00,MONROE ST,TOW,16,Thursday
24P1200103,2024-01-11 16:10:00,MONROE ST,103,16,Thursday
24P1200104,2024-01-11 16:10:00,MONROE ST,TOW,16,Thursday
24P1200105,2024-01-11 20:25:00,BUCKEYE LOT,001,20,Thursday
24P1200106,2024-01-11 20:27:00,BUCKEYE LOT,001,20,Thursday
24P1200107,2024-01-11 20:30:00,BUCKEYE LOT,001,20,Thursday
24P1200108,2024-01-11 20:32:00,BUCKEYE LOT,001,20,Thursday
24P1200109,2024-01-11 20:41:00,BUCKEYE LOT,001,20,Thursday
24P1200110,2024-01-17 15:09:00,PARK ST,083,15,Wednesday
24P1200111,2024-01-18 21:30:00,HAMILTON ST,016,21,Thursday
24P1200112,2024-01-19 16:06:00,REGENT ST,103,16,Friday
24P1200113,2024-01-19 16:06:00,REGENT ST,TOW,16,Friday
24P1200114,2024-01-19 18:24:00,BEDFORD ST,075,18,Friday
24P1200115,2024-01-19 18:26:00,BEDFORD ST,075,18,Friday
24P1200116,2024-01-19 18:46:00,DAYTON ST,063,18,Friday
24P1200117,2024-01-19 19:41:00,HELENA ST,046,19,Friday
24P1200118,2024-01-19 19:44:00,HELENA ST,046,19,Friday
24P1200119,2024-01-19 19:52:00,HELENA ST,046,19,Friday
24P1200120,2024-01-19 19:55:00,HELENA ST,046,19,Friday
24P1200121,2024-01-19 20:01:00,HELENA ST,046,20,Friday
24P1200122,2024-01-19 20:10:00,RIVERSIDE DR,050,20,Friday
24P1200123,2024-01-19 20:48:00,DAYTON ST,046,20,Friday
24P1200124,2024-01-19 20:50:00,DAYTON ST,046,20,Friday
24P1200125,2024-01-19 20:52:00,DAYTON ST,046,20,Friday
24P1200126,2024-01-19 20:57:00,DAYTON ST,046,20,Friday
24P1200127,2024-01-19 20:59:00,DAYTON ST,046,20,Friday
24P1200128,2024-01-19 21:01:00,DAYTON ST,075,21,Friday
24P1200129,2024-01-19 21:06:00,DAYTON ST,075,21,Friday
24P1200130,2024-01-19 21:14:00,BROOM ST,074,21,Friday
24P1200131,2024-01-19 21:37:00,BEDFORD ST,063,21,Friday
