Ticket #,Date Issue,Location,Type,Hour,Day
24P2500001,2024-01-09 23:06:00,FREY ST,083,23,Tuesday
24P2500002,2024-01-09 23:06:00,FREY ST,TOW,23,Tuesday
24P2500003,2024-01-09 23:11:00,FREY ST,083,23,Tuesday
24P2500004,2024-01-09 23:13:00,FREY ST,083,23,Tuesday
24P2500005,2024-01-10 15:07:00,BREESE TER,072,15,Wednesday
24P2500006,2024-01-10 15:07:00,BREESE TER,TOW,15,Wednesday
24P2500007,2024-01-10 15:38:00,ORCHARD ST,072,15,Wednesday
24P2500008,2024-01-10 15:38:00,ORCHARD ST,TOW,15,Wednesday
24P2500009,2024-01-10 17:27:00,ALLIED DR,075,17,Wednesday
24P2500010,2024-01-10 17:31:00,ALLIED DR,075,17,Wednesday
24P2500011,2024-01-10 17:59:00,UNIVERSITY AVE,046,17,Wednesday
24P2500012,2024-01-10 18:04:00,UNIVERSITY AVE,046,18,Wednesday
24P2500013,2024-01-10 19:49:00,BLAIR ST,072,19,Wednesday
24P2500014,2024-01-10 19:49:00,BLAIR ST,TOW,19,Wednesday
24P2500015,2024-01-10 23:29:00,BELD ST,050,23,Wednesday
24P2500016,2024-01-10 23:29:00,BELD ST,TOW,23,Wednesday
24P2500017,2024-01-11 15:47:00,JACOBS WAY,050,15,Thursday
24P2500018,2024-01-11 15:47:00,JACOBS WAY,TOW,15,Thursday
24P2500019,2024-01-11 17:24:00,ALLIED DR,075,17,Thursday
24P2500020,2024-01-11 21:14:00,MIFFLIN ST,050,21,Thursday
24P2500021,2024-01-16 16:10:00,REGENT ST,103,16,Tuesday
24P2500022,2024-01-16 16:10:00,REGENT ST,TOW,16,Tuesday
24P2500023,2024-01-16 16:34:00,SPEEDWAY RD,103,16,Tuesday
24P2500024,2024-01-16 16:34:00,SPEEDWAY RD,TOW,16,Tuesday
24P2500025,2024-01-16 16:49:00,ALLEN ST,103,16,Tuesday
24P2500026,2024-01-16 16:49:00,ALLEN ST,TOW,16,Tuesday
24P2500027,2024-01-17 21:10:00,STATE ST,083,21,Wednesday
24P2500028,2024-01-17 21:18:00,WISCONSIN AVE,050,21,Wednesday
24P2500029,2024-01-17 21:32:00,WISCONSIN AVE,050,21,Wednesday
24P2500030,2024-01-17 21:51:00,DAYTON ST,050,21,Wednesday
24P2500031,2024-01-17 22:30:00,FIFTH ST,058,22,Wednesday
24P2500032,2024-01-18 16:12:00,WILLIAMSON ST,103,16,Thursday
24P2500033,2024-01-18 16:12:00,WILLIAMSON ST,TOW,16,Thursday
24P2500034,2024-01-18 16:17:00,WILLIAMSON ST,103,16,Thursday
24P2500035,2024-01-18 16:17:00,WILLIAMSON ST,TOW,16,Thursday
24P2500036,2024-01-19 15:11:00,JOHNSON ST,101,15,Friday
24P2500037,2024-01-19 15:11:00,JOHNSON ST,TOW,15,Friday
24P2500038,2024-01-19 15:16:00,JOHNSON ST,101,15,Friday
24P2500039,2024-01-19 15:16:00,JOHNSON ST,TOW,15,Friday
24P2500040,2024-01-19 15:24:00,JOHNSON ST,101,15,Friday
24P2500041,2024-01-19 15:24:00,JOHNSON ST,TOW,15,Friday
24P2500042,2024-01-19 16:07:00,WILLIAMSON ST,103,16,Friday
24P2500043,2024-01-19 16:07:00,WILLIAMSON ST,TOW,16,Friday
24P2500044,2024-01-19 16:14:00,WILLIAMSON ST,103,16,Friday
24P2500045,2024-01-19 16:14:00,WILLIAMSON ST,TOW,16,Friday
24P2500046,2024-01-19 16:16:00,WILLIAMSON ST,103,16,Friday
24P2500047,2024-01-19 16:16:00,WILLIAMSON ST,TOW,16,Friday
24P2500048,2024-01-19 18:33:00,FRANCES ST,063,18,Friday
24P2500049,2024-01-19 22:53:00,CEDAR ST,050,22,Friday
24P2500050,2024-01-19 22:53:00,CEDAR ST,TOW,22,Friday
24P2500051,2024-01-24 15:37:00,HOYT ST,072,15,Wednesday
24P2500052,2024-01-24 16:45:00,JOHNSON ST,101,16,Wednesday
24P2500053,2024-01-24 19:00:00,REGENT ST,083,19,Wednesday
24P2500054,2024-01-24 21:42:00,BROOM ST,047,21,Wednesday
24P2500055,2024-01-24 21:45:00,BROOM ST,047,21,Wednesday
24P2500056,2024-01-24 22:20:00,WILLIAMSON ST,050,22,Wednesday
24P2500057,2024-01-24 22:20:00,WILLIAMSON ST,TOW,22,Wednesday
24P2500058,2024-01-24 23:11:00,JENIFER ST,050,23,Wednesday
24P2500059,2024-01-25 00:00:00,EMERALD ST,050,0,Thursday
24P2500060,2024-01-25 19:37:00,HUXLEY ST,072,19,Thursday
24P2500061,2024-01-25 19:37:00,HUXLEY ST,TOW,19,Thursday
24P2500062,2024-01-25 21:33:00,PARK ST,045,21,Thursday
24P2500063,2024-01-25 21:33:00,PARK ST,TOW,21,Thursday
24P2500064,2024-01-25 22:16:00,BUCKEYE LOT,001,22,Thursday
24P2500065,2024-01-25 22:25:00,BUCKEYE LOT,001,22,Thursday
24P2500066,2024-01-25 22:28:00,BUCKEYE LOT,001,22,Thursday
24P2500067,2024-01-25 22:49:00,ERIN ST,050,22,Thursday
24P2500068,2024-01-25 23:03:00,BROOKS ST,050,23,Thursday
24P2500069,2024-01-26 16:18:00,FRANCES ST,151,16,Friday
24P2500070,2024-01-26 16:18:00,FRANCES ST,TOW,16,Friday
24P2500071,2024-01-26 18:32:00,DAYTON ST,075,18,Friday
24P2500072,2024-01-26 18:35:00,DAYTON ST,075,18,Friday
24P2500073,2024-01-26 18:38:00,DAYTON ST,046,18,Friday
24P2500074,2024-01-26 18:41:00,DAYTON ST,046,18,Friday
24P2500075,2024-01-26 18:47:00,BEDFORD ST,075,18,Friday
24P2500076,2024-01-26 18:52:00,MIFFLIN ST,046,18,Friday
24P2500077,2024-01-26 18:54:00,MIFFLIN ST,046,18,Friday
24P2500078,2024-01-26 19:21:00,SOMMERS AVE,072,19,Friday
24P2500079,2024-01-26 19:21:00,SOMMERS AVE,TOW,19,Friday
24P2500080,2024-01-26 20:24:00,HENRY ST,151,20,Friday
24P2500081,2024-01-26 20:24:00,HENRY ST,TOW,20,Friday
24P2500082,2024-01-26 20:36:00,DAYTON ST,075,20,Friday
24P2500083,2024-01-26 21:02:00,GILMAN ST,045,21,Friday
24P2500084,2024-01-26 21:04:00,GILMAN ST,045,21,Friday
24P2500085,2024-01-26 21:10:00,GILMAN ST,045,21,Friday
24P2500086,2024-01-26 21:14:00,BROOM ST,047,21,Friday
24P2500087,2024-01-26 21:29:00,BUCKEYE LOT,001,21,Friday
24P2500088,2024-01-26 21:35:00,BUCKEYE LOT,001,21,Friday
24P2500089,2024-01-26 21:42:00,BUCKEYE LOT,001,21,Friday
24P2500090,2024-01-26 21:46:00,BUCKEYE LOT,001,21,Friday
24P2500091,2024-01-26 23:20:00,MIFFLIN ST,050,23,Friday
24P2500092,2024-01-26 23:34:00,MIFFLIN ST,050,23,Friday
24P2500093,2024-01-27 15:49:00,DOTY ST,151,15,Saturday
24P2500094,2024-01-27 15:49:00,DOTY ST,TOW,15,Saturday
24P2500095,2024-01-27 16:48:00,FRANCES ST,151,16,Saturday
24P2500096,2024-01-27 16:48:00,FRANCES ST,TOW,16,Saturday
24P2500097,2024-01-27 16:55:00,FRANCES ST,075,16,Saturday
24P2500098,2024-01-27 17:10:00,WASHINGTON AVE,050,17,Saturday
24P2500099,2024-01-27 17:23:00,FRANCES ST,151,17,Saturday
24P2500100,2024-01-27 18:07:00,GILMAN ST,045,18,Saturday
24P2500101,2024-01-27 18:13:00,BROOM ST,047,18,Saturday
24P2500102,2024-01-27 18:15:00,BROOM ST,047,18,Saturday
24P2500103,2024-01-27 18:29:00,BUCKEYE LOT,001,18,Saturday
24P2500104,2024-01-27 18:35:00,BUCKEYE LOT,001,18,Saturday
24P2500105,2024-01-27 18:38:00,BUCKEYE LOT,001,18,Saturday
24P2500106,2024-01-27 18:42:00,BUCKEYE LOT,001,18,Saturday
24P2500107,2024-01-27 18:48:00,BUCKEYE LOT,001,18,Saturday
24P2500108,2024-01-27 18:51:00,BUCKEYE LOT,001,18,Saturday
24P2500109,2024-01-27 19:22:00,NORMANDY LN,016,19,Saturday
24P2500110,2024-01-27 20:37:00,GILMAN ST,045,20,Saturday
24P2500111,2024-01-27 20:41:00,BROOM ST,047,20,Saturday
24P2500112,2024-01-27 21:56:00,TROY DR,050,21,Saturday
24P2500113,2024-01-27 23:39:00,JOHNSON ST,072,23,Saturday
24P2500114,2024-01-27 23:39:00,JOHNSON ST,TOW,23,Saturday
24P2500115,2024-01-27 23:41:00,JOHNSON ST,072,23,Saturday
24P2500116,2024-01-27 23:43:00,JOHNSON ST,TOW,23,Saturday
24P2500117,2024-01-30 15:03:00,JOHNSON ST,101,15,Tuesday
24P2500118,2024-01-30 15:03:00,JOHNSON ST,TOW,15,Tuesday
24P2500119,2024-01-30 18:53:00,FRANCES ST,047,18,Tuesday
