Ticket #,Date Issue,Location,Type,Hour,Day
24P2900001,2024-01-06 08:10:00,DOTY ST,Meter,8,Saturday
24P2900002,2024-01-06 08:16:00,MAIN ST,Meter,8,Saturday
24P2900003,2024-01-06 08:22:00,MAIN ST,Meter,8,Saturday
24P2900004,2024-01-06 08:31:00,WASHINGTON AVE,Meter,8,Saturday
24P2900005,2024-01-06 08:40:00,MIFFLIN ST,Meter,8,Saturday
24P2900006,2024-01-06 08:43:00,MIFFLIN ST,Meter,8,Saturday
24P2900007,2024-01-06 08:46:00,BUTLER ST,Meter,8,Saturday
24P2900008,2024-01-06 08:48:00,BUTLER ST,Meter,8,Saturday
24P2900009,2024-01-06 08:51:00,BUTLER ST,Meter,8,Saturday
24P2900010,2024-01-06 08:54:00,MIFFLIN ST,Meter,8,Saturday
24P2900011,2024-01-06 09:01:00,MIFFLIN ST,Meter,9,Saturday
24P2900012,2024-01-06 09:06:00,MIFFLIN ST,050,9,Saturday
24P2900013,2024-01-06 09:06:00,MIFFLIN ST,TOW,9,Saturday
24P2900014,2024-01-06 10:13:00,WEBSTER ST,Meter,10,Saturday
24P2900015,2024-01-06 10:21:00,DAYTON ST,Meter,10,Saturday
24P2900016,2024-01-06 10:31:00,BALDWIN ST,072,10,Saturday
24P2900017,2024-01-06 10:31:00,BALDWIN ST,TOW,10,Saturday
24P2900018,2024-01-06 11:07:00,WASHINGTON AVE,036,11,Saturday
24P2900019,2024-01-06 11:07:00,WASHINGTON AVE,TOW,11,Saturday
24P2900020,2024-01-06 11:18:00,WASHINGTON AVE,046,11,Saturday
24P2900021,2024-01-06 11:18:00,WASHINGTON AVE,046,11,Saturday
24P2900022,2024-01-06 11:20:00,WASHINGTON AVE,046,11,Saturday
24P2900023,2024-01-06 11:41:00,LAKESIDE ST,016,11,Saturday
24P2900024,2024-01-06 12:41:00,WINNEBAGO ST,072,12,Saturday
24P2900025,2024-01-06 12:41:00,WINNEBAGO ST,TOW,12,Saturday
24P2900026,2024-01-06 13:21:00,MILWAUKEE ST,016,13,Saturday
24P2900027,2024-01-07 08:10:00,KEDZIE ST,072,8,Sunday
24P2900028,2024-01-07 10:15:00,JOHN NOLEN DR,083,10,Sunday
24P2900029,2024-01-07 11:31:00,THIRD ST,033,11,Sunday
24P2900030,2024-01-07 15:07:00,COMMERCIAL AVE,050,15,Sunday
24P2900031,2024-01-08 07:29:00,WASHINGTON AVE,071,7,Monday
24P2900032,2024-01-08 07:29:00,WASHINGTON AVE,TOW,7,Monday
24P2900033,2024-01-08 07:51:00,WASHINGTON AVE,033,7,Monday
24P2900034,2024-01-08 08:23:00,HAMILTON ST,Meter,8,Monday
24P2900035,2024-01-08 08:26:00,HAMILTON ST,Meter,8,Monday
24P2900036,2024-01-08 08:36:00,DOTY ST,Meter,8,Monday
24P2900037,2024-01-08 08:46:00,DOTY ST,Meter,8,Monday
24P2900038,2024-01-08 08:58:00,WILSON ST,Meter,8,Monday
24P2900039,2024-01-08 09:01:00,WILSON ST,Meter,9,Monday
24P2900040,2024-01-08 09:04:00,HAMILTON ST,Meter,9,Monday
24P2900041,2024-01-08 09:06:00,HAMILTON ST,Meter,9,Monday
24P2900042,2024-01-08 09:29:00,FAIRCHILD ST,068,9,Monday
24P2900043,2024-01-08 09:29:00,FAIRCHILD ST,TOW,9,Monday
24P2900044,2024-01-08 09:47:00,HENRY ST,033,9,Monday
24P2900045,2024-01-08 09:59:00,WISCONSIN AVE,Meter,9,Monday
24P2900046,2024-01-08 10:35:00,FAIRCHILD ST,Meter,10,Monday
